comp_id|sector_id|PMSector1_id|Balance Sheet Date|MRPO Date|Price Date|Date Last Published|Symbol|Company|Bloomberg Ticker|Currency|Sector|PM Sector 1|REITrader Sector|Primary Analyst|Secondary Analyst|Market Cap Rate|Development Pipeline|Funded Development|Dividend Pace|EBITDA (1-Yr Forward)|Overhead (Annual G&A)|LT NOI Growth|Pricing Model Adjustment - Market Risk|Pricing Model Adjustment - 5 Year Cash Flow|Price|Price (Split Adjusted)|52-Week Price Range|Net Price Change|Recommendation|Shares|Insider Shares (K)|Takeout Price|Takeout Probability|Daily Total Return|1-Year Total Returns|3-Year Total Returns (Annualized)|5-Year Total Returns (Annualized)|7 Year Annualized Total Return|10 Year Annualized Total Return|15 Year Annualized Total Return|20 Year Annualized Total Return|25 Year Annualized Total Return|30 Year Annualized Total Return|Value Per SF/Unit/Bed|Unit Type|MRPO|% Price Change|Public Equity|Dividend Yield|Takeout Premium|Takeout Premium to NAV|Cash|Current Assets|Land|CIP|Other RE Assets|Other Assets|Current Liabilities|Book Value of Debt|Mark to Market Adjustment in Debt|Book Value of Preferred Stock|Mark to Market Adjustment in Preferred Stock|Other Liabilities|Operating Value of RE|Total Assets|Net Assets|Liabilities|Net Liabilities|Private Equity|NAV|NAV (rounded)|NAV (Split Adjusted)|Premium to NAV|Premium to GAV|Net GAV Premium|Debt to EBITDA|Overhead as a % of Assets|EV|G&A as % of EV|Implied Value Per Unit|Nominal NOI|Economic NOI|Cap-Ex Reserve|Nominal Cap Rate|Economic Cap Rate|Implied Nominal Cap Rate|Implied Economic Cap Rate|Implied Market Cap Rate|Implied Net Nominal Cap Rate|Implied Net Economic Cap Rate|Implied Net Market Cap Rate|Leverage|Net Leverage|Net Leverage Ex-Preferreds|Comprehensive Leverage|SS NOI Growth (4 Year)|Inflation|NOI Growth plus Inflation|Pricing Model Adjustment - Sector Risk|IRR (Unlevered Return Expectation)|Implied IRR|Intrinsic NAV|Fair Value Net GAV Premium|Warranted Premium to GAV Component: Leverage|Warranted Price|Premium to Warranted Price|Warranted NAV Premium|Warranted Premium to GAV Component: Takeout|Warranted Premium|Intrinsic Real Estate Value|Warranted Implied Nominal Cap Rate|Implied Takeout Odds|REITrader Implied Nominal Cap Rate vs Peers (120 Day Average)|REITrader Implied Nominal Cap Rate vs Peers (60 Day Average)|REITrader Implied Nominal Cap Rate vs Peers (20 Day Average)|REITrader Implied Nominal Cap Rate vs Peers (5 Day Average)|REITrader Implied Cap Rate vs Peers|REITrader Warranted Implied Nominal Cap Rate Spread|REITrader Implied Nominal Cap Rate|REITrader Warranted Price|REITrader Premium to Warranted Price|Dividend Coverage Year|Dividend Coverage|Debt Maturities Measured Through Year|Implied Fully-Loaded Forward 16Q Economic Cap Rate|Same Store NOI (2019)|Same Store NOI (2022)|Nominal Cap Rate (2019 NOI)|Nominal Cap Rate (2022 NOI)|Implied Net Nominal Cap Rate (2019 NOI)|Implied Net Nominal Cap Rate (2022 NOI)|Year 1 - Defined|Year 2 - Defined|Year 3 - Defined|Year 4 - Defined|AFFO (Year 0)|AFFO (Year 1)|AFFO (Year 2)|AFFO (Year 3)|AFFO (Year 4)|AFFO Yield (Year 0)|AFFO Yield (Year 1)|AFFO Yield (Year 2)|AFFO Yield (Year 3)|AFFO Yield (Year 4)|AFFO Growth (Year 1)|AFFO Growth (Year 2)|AFFO Growth (Year 3)|AFFO Growth (Year 4)|AFFO (12-Month Back)|AFFO (12-Month Forward)|1-Year Forward REIT AFFO Yield|AFFO Growth (12-Month Forward)|AFFO Multiple (12-Month Forward)|EBITDA (Year 1)|EBITDA (Year 2)|EBITDA (Year 3)|EBITDA (Year 4)|EBITDA Multiple (Year 1)|EBITDA Multiple (Year 2)|EBITDA Multiple (Year 3)|EBITDA Multiple (Year 4)|FFO (Year 0)|FFO (Year 1)|FFO (Year 2)|FFO (Year 3)|FFO (Year 4)|FFO Yield (Year 0)|FFO Yield (Year 1)|FFO Yield (Year 2)|FFO Yield (Year 3)|FFO Yield (Year 4)|FFO Growth (Year 1)|FFO Growth (Year 2)|FFO Growth (Year 3)|FFO Growth (Year 4)|FFO (12-Month Back)|FFO (12-Month Forward)|FFO Growth (12-Month Forward)|FFO Multiple (12-Month Forward)|Same Store NOI Growth (Year 0)|Same Store NOI Growth (Year 1)|Same Store NOI Growth (Year 2)|Same Store NOI Growth (Year 3)|Same Store NOI Growth (Year 4)|Same Store NOI Growth (Year 5)|Same Store NOI Growth (12 Month Forward)|Independent Board|Non-staggered Board|Investment by Board Members|Independent Directors that own > $200K|Insider Ownership|Board Investment|Conduct|Proxy Access|Total Board Rating|State of Incorporation|Business Combination Provision|Control Share Acquistion Provision|Board Later Vote|Shareholder Amendments|State Anti-takeover Provisions|Ownership Limits from 5/50 Rule|Insider Blocking Power|Shareholder Rights Plan|Board Authority Rights Plan|Shareholder Rights Plan Total|Total WME Rating|Other Business Dealings with Management|Divergent Tax Basis of Insiders|Total Other Issues Rating|Total Corporate Governance Score
10|9|9|31/12/2020|20/01/2021|26/04/2021|23/04/2021|BXP|Boston Properties|BXP US EQUITY|USD|Office|Office|Office|DI|DBu||2830920|1793679|3.92|1670000|122000|-0.00816022|-0.001|0.98125|107.33|107.33|71.15 - 108.59|1.28|HOLD|173061.925|1687.979|135.5|0|0.0120698|0.1459839|-0.02999581|-0.01506223|0.01628449|0.03998026|0.04607085|0.09718163|||724.33440482|SF|HOLD|0.01206978|18574.73641025|0.03652287|0.26246157|0.03118522|1397369|167455|883336|2310796.31175667|0|228204|613634|12560283.2884685|689209.34523593|0|0|759073|32375755.9760476|37362916.2878043|35965547.2878043|14622199.6337044|13224830.6337044|22740716.6540999|131.40219406|131.5|131.40219406|-0.18319477|-0.1115004|-0.11583253|6.68437981|0.00326527|31799567.0439544|0.00383653|643.57082638|1544660.13127586|1179123.68581092|0.23664523|0.0477104|0.03641996|0.05369771|0.04099041||0.05396081|0.04119124||0.39135595|0.36770831|0.36770831|0.36367103|0.02093139|0.022|0.00333978|-0.001|0.03930177|0.04043651|114.95887911|-0.03986338|0.00437265|109.89395328|-0.02333116|-0.16368251|0|-0.10349509|-0.03797955|0.05298944|0|-0.00541699|-0.0049347|-0.00532056|-0.00585173|-0.00579189|-0.005381|0.05410861|105.87331968|0.01375871|2021|0.99265178|2023|0.03877702|1585964.88886957|1596339.3790848|0.04898619|0.04930663|0.05540374|0.05576616|2021|2022|2023|2024|3.48067655|3.89119498|4.34815879|4.52304226|4.68448304|0.03242967|0.0362545|0.04051205|0.04214145|0.04364561|0.11794214|0.11743534|0.04022012|0.03569296|3.58330616|4.00543593|0.03731889|0.11780455|26.79608457|||||||||6.29024246|6.57847417|7.30736309|7.59955776|7.74572131|0.05860656|0.06129204|0.06808314|0.07080553|0.07216735|0.04582203|0.11079909|0.03998634|0.01923317|6.36230039|6.7606964|0.06261823|15.87558347|-0.062|0.02995274|0.04186518|0.01387066|0.01592|0.01235453|0.03293085|2|30|1|2|0|3|15|5|55|DE|0|2|0|0|7|5|8|5|0|5|25|3|0|3|83
18|1|1|31/12/2020|23/02/2021|26/04/2021|14/04/2021|CPT|Camden Prop Trust|CPT US EQUITY|USD|Apartment|Apartment|Apartment|JP|GFP||1010178.6|684778.6|3.4196|636913.27344781|48014.52|-0.001|0.00075|1|119.41|119.41|83.22 - 120.65|0.7|BUY|101364|3165.361|99|0|0.00589675|0.4354518|0.12989925|0.10225857|0.11841868|0.11199209|0.07505561|0.11401121|0.12246107||293.55867856|Unit|BUY|0.00589672|12103.87524|0.02863747|-0.17092371|-0.20248354|420441|129172.59904|121812.6|797473.24696047|542662.7110677|261902|325911|3349349|239239.21292731|0|0|189545|14413437.558522|16686901.7155902|16266460.7155902|4104044.21292731|3683603.21292731|12582857.5026629|124.1353686|124.25|124.1353686|-0.03806626|-0.02870409|-0.029446|4.59859783|0.00287738|15787478.4529273|0.0030413|285.13234499|626984.53379571|503208.83399385|0.19741428|0.0435|0.03491248|0.04478553|0.03594422||0.04481976|0.0359717||0.24594405|0.22645388|0.22645388|0.19450684|0.0267051|0.022|0.021|0.001|0.05853565|0.05657838|115.59283446|0.02512398|0.00997934|118.86832326|0.00455695|-0.04242985|0|-0.03282145|-0.02421012|0.04493776|0|0.00051003|0.00076659|0.00073708|0.00061815|0.00062595|0.00065796|0.04481754|119.29577742|0.00095747|2021|1.11295139|2023|0.03526067|625947.78660663|646647.24620988|0.04342807|0.04486419|0.04474565|0.04622534|2021|2022|2023|2024|3.76046862|3.80584856|3.9089151|4.00677528|4.23481473|0.03149207|0.03187211|0.03273524|0.03355477|0.03546449|0.01206763|0.02708109|0.02503513|0.05691346|3.77181361|3.8316152|0.03208789|0.01585486|31.16440298|||||||||4.89927672|5.08560509|5.24583812|5.40374782|5.68731651|0.04102903|0.04258944|0.04393131|0.04525373|0.04762848|0.03803181|0.03150717|0.0301019|0.0524763|4.94585881|5.12566335|0.03635456|23.29649684|-0.004|0.00604216|0.03136076|0.03177148|0.02683245|0.01692557|0.01237181|0|30|1|3|0|4|9|0|43|TX|2|2|3|0|7|0|8|5|0|5|20|2|0|2|65
20|9|9|31/12/2020|13/11/2020|26/04/2021|23/04/2021|CUZ|Cousins Properties|CUZ US EQUITY|USD|Office|Office|Office LB|DI|DBu||449400|323457|1.2|427000|28000|-0.0104|0.001|1|36.6|36.6|24.33 - 36.65|0.42|HOLD|148564.356|3699.532|9.75|0|0.01160858|0.2565399|0.04016596|0.06972578|0.04343119|0.07061809|-0.02116773|0.02603543|0.05803333|0.06872391|366.86944956|SF|HOLD|0.01160862|5437.4554296|0.03278689|-0.73360656|-0.71997999|13709|63243|165530.075|404708.5390017|0|27056.25|304370|2275445|93923.81594359|0|0|0|7172345.43183116|7846592.29583286|7832883.29583286|2673738.81594359|2660029.81594359|5172853.47988927|34.81894055|34.75|34.81894055|0.05115203|0.03372189|0.03378091|5.29680562|0.00356843|8097485.24554359|0.00345786|379.24098207|448365.71424437|326030.42269452|0.27284711|0.06251312|0.0454566|0.06047383|0.04397372||0.06047038|0.04397121||0.34075159|0.33959778|0.33959778|0.33915348|0.02180151|0.022|-0.0039|-0.001|0.04499582|0.039951|37.59993964|-0.01801536|0.00805029|37.76491281|-0.03084643|0.08460833|0|0.05587553|0.10195294|0.05921049|0|-0.0068634|-0.00657023|-0.00658476|-0.00670283|-0.00678795|-0.00668031|0.06058147|36.50299441|0.00265747|2021|1.25963452|2023|0.04316615|441279.13263443|467604.52182346|0.06152508|0.06519548|0.05951462|0.06306509|2021|2022|2023|2024|1.46085955|1.51156142|1.4934601|1.5950746|1.72427268|0.0399142|0.04129949|0.04080492|0.04358127|0.04711128|0.03470688|-0.01197525|0.06803965|0.08099814|1.47353502|1.50703609|0.04117585|0.02273517|24.28608063|||||||||2.78374068|2.77867932|2.78858478|2.86586293|3.00468758|0.07605849|0.0759202|0.07619084|0.07830227|0.08209529|-0.00181819|0.00356481|0.02771232|0.04844078|2.78247534|2.78115569|-0.00047427|13.15999683|0.007|0.02121154|0.01799381|0.02125299|0.03041294|0.0175983|0.02040711|2|30|1|3|0|4|15|0|51|GA|2|2|0|0|4|0|8|5|0|5|17|3|1|4|72
22|11|11|31/12/2020|21/04/2021|26/04/2021|21/04/2021|SITC|Site Centers|SITC US EQUITY|USD|Strip Center|Strip Center|Strip Center - Low Quality|VT|PRS||0|0|0.44|279763.20778203|43781|-0.012|0|1|15.03|15.03|4.51 - 15.03|0.06|BUY|210754|41433|0|0|0.004008|1.636686|0.08985869|-0.09288468|-0.04622373|-0.00774158|-0.07510331|0.02236009|0.03498318||211.72956248|SF|BUY|0.00400802|3167.63262|0.02927478|||293812|54112|0|13542.9|0|273591.23256802|14844|2164607|106099.66438816|325000|5540|130749|4680909.81069622|5315967.94326424|5022155.94326424|2746839.66438816|2453027.66438816|2569128.27887608|12.19017565|12.25|12.19017565|0.23296008|0.11258615|0.11917279|6.68706588|0.00823575|5620660.28438816|0.0077893|235.56737784|327038.20778203|234576.03999217|0.28272589|0.06986638|0.05011334|0.06279637|0.04504221||0.0624268|0.04477713||0.51671487|0.48844116|0.4226248|0.35586604|0.04242669|0.022|0.012|0|0.06660876|0.05304343|12.79088835|0.0916535|0.00476533|15.71521756|-0.04360217|0.28917072|0|0.14792784|0.03726157|0.06129964|0|0.00169255|0.00139603|0.00118053|0.00142261|0.00092569|0.00142293|0.06329362|14.80952935|0.01488708|2021|1.37525139|2023|0.04163224|364162.86149492|345924.53176715|0.07779745|0.07390113|0.06951335|0.06603192|2021|2022|2023|2024|0.61080735|0.60511061|0.61881315|0.63208496|0.68039039|0.04063921|0.04026019|0.04117187|0.04205489|0.04526882|-0.00932657|0.02264469|0.0214472|0.07642237|0.60938317|0.60853625|0.04048811|-0.0013898|24.69861101|||||||||0.98584969|0.97095675|1.00061246|1.0271388|1.08867457|0.06559213|0.06460125|0.06657435|0.06833924|0.07243344|-0.0151067|0.03054277|0.0265101|0.05990989|0.98212646|0.97837068|-0.00382413|15.36227561|-0.111|0.01018538|0.05774959|0.03824058|0.03676689|0.03709873|0.02207643|0|30|1|2|1|4|10|5|49|OH|0|2|0|0|4|0|8|5|0|5|17|3|2|5|71
24|6|6|31/12/2020|14/01/2021|26/04/2021|16/04/2021|DRE|Duke Realty Corp|DRE US EQUITY|USD|Industrial|Industrial|Industrial|VT|NF||897140|568675.38641275|1.02|714317.838775|58500|0.0005|0.0003|1.07|45.4|45.4|30.41 - 45.79|0.03|HOLD|378820|1049.842|0|0|0.00066126|0.329253|0.19767029|0.17110353|0.18042512|0.16057966|0.05736102|0.08787953|0.1020702|0.12937732|129.0117326|SF|HOLD|0.00066123|17198.428|0.02246696|||6309|277012.25|332601.9|799718.78200627|99423.68253099|20000|311007|3569345|199069.89887162|0|0|93742.5|18604523.9352641|20139589.5498014|20133280.5498014|4173164.39887162|4166855.39887162|15966425.1509297|42.14778827|42.25|42.14778827|0.0771621|0.06117319|0.06119235|4.98802607|0.00290473|21365283.3988716|0.00273809|136.90379126|772525.838775|694457.4948975|0.10105596|0.04152355|0.03732735|0.03912985|0.03517555||0.03912914|0.03517491||0.20721199|0.20696356|0.20696356|0.21522836|0.04143965|0.022|0.0225|-0.001|0.06338649|0.0582825|43.21887184|0.04022853|0.00106756|47.23321119|-0.03881191|0.12065693|0|0.09568535|-0.02101948|0.03789837|0|0.00197881|0.00200912|0.00196125|0.00179999|0.00187784|0.00193729|0.0391893|45.31441144|0.00188877|2021|1.31547624|2023|0.03623413|670196|755763.64471032|0.03602328|0.04062257|0.03394604|0.03828012|2021|2022|2023|2024|1.21032306|1.34178576|1.46305854|1.56817352|1.67619924|0.0266591|0.02955475|0.03222596|0.03454127|0.03692069|0.10861786|0.09038163|0.07184605|0.06888633|1.24318874|1.37210396|0.03022255|0.10369722|33.08787198|||||||||1.52206893|1.66940034|1.80525222|1.92208308|2.04152159|0.03352575|0.03677093|0.03976326|0.04233663|0.04496744|0.09679681|0.08137765|0.0647172|0.06214014|1.55890178|1.70336331|0.09266878|26.65315129|0.05022218|0.04444|0.04264|0.04144|0.04144|0.04024|0.04399|2|30|1|2|0|3|13|5|53|IN|0|0|0|0|4|0|8|5|0|5|17|3|2|5|75
27|1|1|31/12/2020|09/09/2020|26/04/2021|14/04/2021|EQR|Equity Residential|EQR US EQUITY|USD|Apartment|Apartment|Apartment|JP|GFP||591034.6|402030.1|2.41|1383944.988523|68131.8|0.0015|-0.0005|1|74.72|74.72|46.24 - 75.06|0.14|HOLD|387017.073|9405.974|74.4|0|0.0018772|0.2084703|0.08867642|0.03389893|0.08846913|0.07427208|0.07823205|0.10520555|0.11975257||504.61540963|Unit|HOLD|0.00187718|28917.91569456|0.03225375|-0.00428266|-0.03432997|42591|57137|86170|428656.51609841|-307335.82493238|779055.96|466004|8000929.44664116|474763.84353414|37280|0|674194|38384608.157265|39470882.808431|39428291.808431|9653171.2901753|9610580.2901753|29817711.5182557|77.04495124|77|77.04495124|-0.03017656|-0.02279645|-0.02282107|5.75047311|0.00172613|38528495.9847353|0.00176835|493.11197201|1496999.71813333|1329686.26490351|0.11176585|0.039|0.03464113|0.0399098|0.03544925||0.03991081|0.03545014||0.24456436|0.24374833|0.24280282|0.26819663|0.04453411|0.022|0.0235|0.001|0.06100464|0.06009665|78.33320595|-0.03502334|0.00315968|77.34858925|-0.03398367|0.00394105|0|0.00298043|-0.01730546|0.03888423|0|-0.00091587|-0.00129294|-0.00139036|-0.00135137|-0.00129971|-0.00123763|0.03997188|74.565226|0.00207569|2021|1.00370168|2023|0.03786833|1795164.45624307|1565363.83038884|0.04676782|0.04078103|0.04786004|0.04173343|2021|2022|2023|2024|2.70591284|2.41892105|2.55160677|2.76097399|2.91508775|0.03621404|0.03237314|0.03414891|0.03695094|0.03901349|-0.10606099|0.05485327|0.08205309|0.05581862|2.63416489|2.45209248|0.03281708|-0.0691196|30.47193391|||||||||3.25407798|2.84647429|3.01011537|3.26207783|3.45244339|0.04355029|0.03809521|0.04028527|0.04365736|0.04620508|-0.12525935|0.05748904|0.08370525|0.05835715|3.15217706|2.88738456|-0.08400305|25.87809086|-0.066|-0.10620808|0.04456323|0.05693551|0.04220345|0.03455784|-0.06851525|1|5|1|3|0|4|14|5|29|MD|2|2|3|0|7|5|8|5|0|5|25|3|0|3|57
30|11|11|31/12/2020|20/02/2021|26/04/2021|21/04/2021|FRT|Federal Realty|FRT US EQUITY|USD|Strip Center|Strip Center|Strip Center - High Quality|VT|PRS||1139000|728000|4.24|498207.50643046|41680|-0.007|0|1|109.9|109.9|67.91 - 110.37|0.07|SELL|77472|654|0|0|0.00063736|0.427561|-0.00689023|-0.05020095|0.01466564|0.05448851|0.05393916|0.12879503|0.11334347|0.11358809|475.22350172|SF|SELL|0.00063735|8514.1728|0.03858053|||798329|56480|261789.5|753416.97368421|0|103532|228641|4314005|207012.95499955|160000|5280|72985|9811534.15852012|11785081.6322043|10986752.6322043|4987923.95499955|4189594.95499955|6797157.67720478|87.73695887|87.75|87.73695887|0.25260781|0.14569395|0.15628049|7.05665|0.00353667|12703767.7549996|0.00328092|544.46069198|534670.50643046|421904.32944835|0.21090779|0.05449408|0.04300085|0.04756425|0.03753258||0.04712877|0.03718895||0.42324051|0.38133151|0.36628794|0.34420123|0.04933583|0.022|0.014|0|0.06187402|0.0521661|85.80153312|0.17227913|0.00651506|101.67766914|0.08086663|0.15889211|0|0.09830154|-0.08298198|0.04991934|0|-0.0074943|-0.00637508|-0.00591484|-0.005589|-0.00538287|-0.0063433|0.04660382|113.49173079|-0.03164751|2021|0.63655467|2023|0.0384292|643278.67289398|573767.67213595|0.06556352|0.05847889|0.05670209|0.05057501|2021|2022|2023|2024|2.64484245|2.69899181|3.16585793|3.40887676|3.59008544|0.0240659|0.02455862|0.02880671|0.03101799|0.03266684|0.02047357|0.17297797|0.07676239|0.05315789|2.65837979|2.81570834|0.02562064|0.05918212|39.03103118|||||||||4.52385885|4.63589415|5.18604273|5.51480549|5.75170547|0.04116341|0.04218284|0.04718874|0.05018021|0.05233581|0.02476543|0.11867151|0.06339376|0.04295709|4.55186768|4.7734313|0.04867532|23.02327052|-0.176|0.00869499|0.07312385|0.05281703|0.03594388|0.03590286|0.02480221|0|30|1|3|0|4|15|0|49|MD|0|2|0|0|2|0|8|5|0|5|15|3|2|5|69
34|4|73|31/12/2020|31/07/2020|26/04/2021|16/04/2021|PEAK|Healthpeak Properties|PEAK US EQUITY|USD|Health Care|Health Care - Big 3|Health Care - Big 3|LH|JM||1087459|554277|1.2|913607.21847109|92500|-0.008|0|1|34.17|34.17|21.55 - 34.32|0.18|HOLD|547414.393|842.269|25.75|0|0.00529562|0.4012913|0.16633232|0.06779378|0.03861577|0.04428869|0.07084148|0.10021931|0.10103752|0.11499734|||HOLD|0.00529568|18705.14980881|0.03511853|-0.24641498|-0.12426608|2984984|109475|131996|994111.20642136|0|195375|763391|6387965|552647|0|0|478237|19862421.4166256|24278362.6230469|21293378.6230469|8182240|5197256|16096122.6230469|29.40390832|29.5|29.40390832|0.16209041|0.10746306|0.12252763|3.72477464|0.00380998|23902405.80881|0.0038699||1006107.21847109|826654.57898762|0.17836334|0.0506538|0.04161902|0.0457386|0.03758051||0.04512477|0.03707617||0.33701779|0.2440785|0.2440785|0.20549174|0.03119113|0.022|0.0225|0.001|0.06626814|0.05773761|27.31218481|0.1863214|0.01671166|33.2354108|0.02812028|0.13030589|0|0.09850102|-0.0583694|0.04662578|0|-0.00067559|-0.00020047|-0.00042899|-0.00091859|-0.00090907|-0.00055591|0.04609175|33.79366138|0.01113637|2021|1.03372621|2023|0.03693484|1158532.38514423|1290089.78001519|0.05832785|0.06495128|0.05196117|0.05786164|2021|2022|2023|2024|1.36778992|1.24047145|1.34848235|1.39429587|1.44812105|0.04002897|0.03630294|0.03946393|0.04080468|0.0423799|-0.09308335|0.08707246|0.03397413|0.03860384|1.3359603|1.26747418|0.03709319|-0.05126359|26.95912917|||||||||1.64251257|1.58384177|1.71057216|1.76339053|1.8279844|0.04806885|0.04635182|0.05006064|0.0516064|0.05349676|-0.03572015|0.08001455|0.0308776|0.0366305|1.62784487|1.61552437|-0.0075686|21.1510273|0.038|0.03439056|0.03712202|0.0317798|0.02860389|0.02728665|0.03507343|2|30|1|3|0|4|10|5|51|MD|0|2|0|0|2|0|8|5|0|5|15|3|2|5|71
37|9|9|31/12/2020|20/01/2021|26/04/2021|23/04/2021|HIW|Highwoods Properties|HIW US EQUITY|USD|Office|Office|Office LB|DI|DBu||488321|389448.2|1.92|435000|40000|-0.01237954|0.001|1|43.74|43.74|29.71 - 45.21|0.74|HOLD|106765|1407.959|48|0|0.01720934|0.2780509|0.03856335|0.02288789|0.06063369|0.06767765|0.0664504|0.0871184|0.08037566||252.309175|SF|HOLD|0.0172093|4669.9011|0.04389575|0.09739369|0.10908785|109322|171636|124903.10174468|447644.0081381|0|19050|242817|2511834.355|132438.88613753|28826|10089.1|0|6674112.16041667|7546667.27029945|7437345.27029945|2926005.34113753|2816683.34113753|4620661.92916192|43.27880793|43.25|43.27880793|0.0106563|0.00652462|0.00662053|5.52301691|0.00530035|7486584.44113753|0.00534289|253.95539765|471240.00149019|339357.29080178|0.27986315|0.07060714|0.05084681|0.07014945|0.0505172||0.07014276|0.05051239||0.38772152|0.37872161|0.37348921|0.32769716|0.02771849|0.022|-0.00987954|-0.001|0.04670461|0.0409935|48.84069055|-0.06780779|0.00976873|45.52450967|-0.03919888|0.05188918|0|0.03223762|0.10537207|0.06843299|0|0.00340193|0.00278766|0.0024135|0.00288713|0.00288767|0.00287256|0.07013433|43.75533196|-0.0003504|2021|1.06007423|2023|0.04860303|457977.84333333|488248.31546441|0.06862004|0.07315555|0.06816873|0.0726744|2021|2022|2023|2024|1.86050234|2.03534253|2.1883707|2.32308396|2.43282267|0.04253549|0.04653275|0.05003134|0.0531112|0.05562009|0.09397472|0.07518546|0.0615587|0.04723837|1.90421239|2.07359957|0.0474074|0.08895394|21.09375435|||||||||3.58030713|3.59649308|3.85160953|4.09714563|4.26642839|0.0818543|0.08222435|0.08805692|0.09367045|0.09754066|0.00452083|0.07093478|0.06374896|0.04131724|3.58435362|3.66027219|0.02118055|11.94993096|0.021|0.03808496|0.03008987|0.0340346|0.02603784|0.02075877|0.03608619|2|5|1|2|0|3|15|0|25|MD|2|2|0|0|4|0|8|5|0|5|17|3|2|5|47
39|5|0|31/12/2020|01/05/2017|26/04/2021|23/04/2021|HST|Host Hotels & Resorts|HST US EQUITY|USD|Lodging||Lodging|LH|CD|0.00737694|0|0|0|1125788.87945283|99000|-0.011|0|0.062|17.43|17.43|9.45 - 18.42|0.14|BUY|712754.7568|8539.744|17.5|0|0.00809718|0.5262681|-0.00109854|0.04107119|0.01335229|0.0297204|0.01672489|0.04830781|0.04843308|0.09575434|352.84419761|Room|BUY|0.00809717|12423.31541102|0|0.00401606|-0.03357764|2335000|161000|0|0|0|381000|71000|5588000|141575.43390901|0|0|509000|16339156.2588511|19216156.2588511|16881156.2588511|6309575.43390901|3974575.43390901|12906580.8249421|18.10802482|18|18.10802482|-0.03744333|-0.02514891|-0.02862751|2.88952934|0.00515191|16397890.844933|0.00603736|343.9705501|224568.75|157198.125|0.3|0.01374421|0.00962095|0.01409878|0.00986914|0.00756725|0.01414927|0.00990449|0.00759435|0.32834743|0.2354445|0.2354445||3.81153732|0.022||||||||18.1545|-0.03990746|0.00256655||0.00196227||0.01372056||-0.00478907|-0.00455855|-0.00469825|-0.00469142|-0.00460021|-0.00468432|0.01401466|17.58773935|-0.00896871|2021||2023|0.00543418|1497125|1224788.87945283|0.09162805|0.07496035|0.09432844|0.07716952|2021|2022|2023|2024|-0.92782775|-0.53734606|0.79986345|0.91479101|0.9955988|0|0|0.04589004|0.05248371|0.05711984|||0.14368398|0.0883347|-0.83020733|-0.20304368|-0.01164909|-0.75543015|-85.84359673|155.6425|1138.637875|1251.670615|1328.9617249|101.87378669|13.92531479|12.66778229|11.9310365|-0.3116368|0.05893196|1.32971942|1.49561479|1.6123853|0|0.00338106|0.07628912|0.08580693|0.09250633||10|0.12475968|0.07807526|-0.21899461|0.37662883|-2.71980865|46.27898568|-1.09176155|-2.66166729|4.13307468|0.09739805|0.06446152|0.03779077|-0.9629818|1|30|1|3|0|4|15|5|55|MD|0|2|0|0|2|0|8|5|0|5|15|3|2|5|75
