Property ID|grade_id|manager_id|market_id|state_id|type_id|Year Built|year_acquired|year_renovation|Grade|Manager|Market|Type|Property|Address|City|State|Zip|Latitude|Longitude|GLA Mall|GLA Shop|groundLease|HHI_10mi|levels|movie|NOI_estimate|Occupancy|population_10mi|Sales per SF|sales_SF_exApple|screens|Stores|superZipsServed_10mi|tap_score|Value|Nominal Cap Rate
1|3|170|152|21|1|1972||1998|C-||Baltimore|Mall|Security Square Mall|6901 Security Blvd|Baltimore|MD|21244|39.312762|-76.750378|1040000|520000||78369.7482236|1|AMC|8.92790757|0.72|1076450|259.7|259.7|8|159|5|62.7|34.13384124|0.2615559
2|3|26|152|21|1|1956|||C-||Baltimore|Mall|Eastpoint Mall|7839 Eastpoint Mall|Baltimore|MD|21224|39.291896|-76.509314|860000|430000||64935.11832468|1|None|7.41507342|0.69|996167|279.3|279.3||116|1|26.8|28.34986103|0.2615559
3|8|61|185|35|1|1956|||B+||Long Island|Mall|Broadway Commons|358 B Broadway Mall|Hicksville|NY|11801|40.768299|-73.52562|996000|500000||123072.22060954|2|Multiplex|17.29232636|0.86785714|1277299|396.55|396.55|12|130|18|93.8|166.03439777|0.10414906
4|6|17|2|28|1|1966|1999|2001|B-||Other|Mall|Greenville Mall|714 Greenville Blvd SE|Greenville|NC|27858|35.587707|-77.368846|449664|225103||52840.47800289|1|None|5|0.89427083|156367|386.1|386.1||65|0|36.3|37.35748081|0.133842
5|3|26|169|23|1|1957|1993||C-||Detroit|Mall|Eastland Center|18000 Vernier Road|Harper Woods|MI|48225|42.449714|-82.93379|1400000|320000||52182.6698163|1|None|1.997571|0.74|832785|274.4|274.4||113|2|48.4|7.63726224|0.2615559
6|9|46|2|35|1|1990|||A-||Other|Mall|Destiny USA|9090 Destiny USA Drive|Syracuse|NY|13204|43.0709738|-76.1703243|1495000|828410||64678.91086715|3|Regal|40|0.88296667|381855|494|440|17|159|0|16.4|448.59241568|0.0891678
7|3|100|206|36|1|1974|||C-||Pittsburgh|Mall|Fort Steuben Mall|100 Mall Drive|Steubenville|OH|43952|40.371033|-80.670127|810000|405000||52508.49482936|1|Cinema|2.94427|0.5|88304|151.9|151.9|6|49|0|10.3|11.25675238|0.2615559
8|8|32|1521|46|1|1999|||B+||D.C. Metro|Mall|Dulles Town Center|21100 Dulles Town Circle|Dulles|VA|20166|39.032809|-77.420549|1400000|300000||143452.49546097|2|Edwards|13.17338769|0.86785714|544206|417.15|417.15|16|179|7|85.6|126.48590172|0.10414906
9|2|228|2|32|1|1968||1974|D||Other|Mall|Harbor Square|6725 Black Horse Pike|Egg Harbor Township|NJ|8234|39.401879|-74.562317||||67713.94395593|1|none|2|0.63|221947|171.5|171.5|||0|25.9|6.46561696|0.30932856
10|7|17|2|2|1|1986||1998|B||Other|Mall|Riverchase Galleria|3000 Riverchase Galleria|Hoover|AL|35244|33.3785271|-86.8111315|1476095|536037||74985.71550666|2|none|27.11503784|0.9638|418302|494.7|494.7||172|5|79|226.8343561|0.11953673
11|4|232|2|26|1|1987|||C||Other|Mall|Edgewood Mall|1722 Veterans Blvd.|McComb|MS|39648|31.2437872|-90.4531535||||34763.46827299|1|None|0|0.71816667|34950|264.6|264.6||40|0|0.4|0|0.21962749
12|12|35|205|4|1|1961|2002|2009|A++||Phoenix|Mall|Scottsdale Fashion Square|7014-590 East Camelback Road|Scottsdale|AZ|85251|33.502437|-111.930235|1835000|875000||70602.1038493|3|Harkin Theaters|64.37846162|0.932|1101455|1437|1245|7|232|1|92.8|1168.59111457|0.05509067
13|10|284|2|19|1|1984||1999|A||Other|Mall|Shops at Canal Place|333 Canal St|New Orleans|LA|70130|29.950688|-90.064917|268000|201000||54565.59746132|3|Canal Place Theater|9.930686|0.90836667|763896|656.25|656.25|4|34|0|50|131.69619243|0.07540602
15|6|294|2|31|1|1983|||B-||Other|Mall|Fox Run Mall|50 Fox Run Road|Newington|NH|3801|43.099866|-70.807985|607000|225000||88612.24287973|1|None|9.09790492|0.86427083|142047|470.25|470.25||90|2|53.6|67.97496168|0.133842
16|7|62|189|10|1|1978|2007||B||Miami|Mall|Broward|8000 W. Broward Blvd.|Plantation|FL|33324|26.120663|-80.254646|1048403.86|336327.37344736||67907.96907678|1|none|10.067905|0.8938|1350462|397.8|397.8||88|1|61.1|84.22436146|0.11953673
17|3|160|2|23|1|1983|1996|1999|C-||Other|Mall|Lakeview Square|5775 Beckley Road|Battle Creek|MI|49015|42.261237|-85.181779|554334|262741||55481.23294157|1|Carmike|2.57889005|0.67|97627|147|147|10|71|0|40.4|9.85980454|0.2615559
18|6|17|160|15|1|1980|1998|1992|B-||Chicago|Mall|Spring Hill Mall|1072 Spring Hill Mall|West Dundee|IL|60118|42.100163|-88.293441|1098656|417076||95341.71619255|1|none|9.69775472|0.67427083|525223|371.25|371.25||108|1|44.5|72.45673719|0.133842
19|8|17|2|10|1|1977|1998|2007|B+||Other|Mall|Coastland Center|1900 Tamiami Trail North|Naples|FL|34102|26.169453|-81.799261|924171|333781||81197.02536351|1|none|12.477431|0.94785714|269700|442.9|442.9||132|0|79.1|119.80358796|0.10414906
20|6|17|2|19|1|1982|1998|2005|B-||Other|Mall|Pierre Bossier Mall|2950 East Texas Street|Bossier City|LA|71111|32.528564|-93.705958|612849|265365||50343.15130807|1|none|3.8456075|0.80427083|255533|371.25|371.25||69|0|4.8|28.73244167|0.133842
21|12|35|198|5|1|1951|1985|1994|A++||Oakland-East Bay|Mall|Broadway Plaza|1275 Broadway Plaza|Walnut Creek|CA|94596|37.895615|-122.058206|927000|382000||135707.84239935|1|none|37.69626285|0.959|508725|2032|1605||79|8|94.7|684.25862801|0.05509067
