Property ID|Property|owner_id|comp_id|Owner|owner_publish|Symbol|pctOwner
2|Crescent Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
3|Methuen Shopping Center|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
4|Town Line Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
6|Elmwood Park Shopping Center|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
7|Crossroads Shopping Center|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.49
8|Amboy Center|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
9|Branch Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
12|Market Square Shopping Center|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.2222
13|Mark Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
14|The Gateway Shopping Center|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
16|Marketplace of Absecon|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
17|Hobson West Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
19|Plaza 422|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
20|Bartow Avenue (2829 & 2875 Edson)|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
23|Abington Towne Center|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
24|Route 6 Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
25|New Loudon Center|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
26|Mad River Station|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
27|Bloomfield Town Square|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
30|Town Center and Other|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
32|Merrillville Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
33|LA Fitness|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
34|Clark Street and W. Diversey Collection - 3 properties|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
35|2914 Third Avenue|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
39|200 West 54th Street|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
40|239 Greenwich Avenue|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.75
41|5-7 East 17th Street|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
42|Chestnut Hill|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
44|Village Commons Shopping Center|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
47|Naamans Road|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
51|Copps Hill Plaza|76|76|Regency Centers|Regency Centers (REG)|REG|1
52|Brookside Plaza|76|76|Regency Centers|Regency Centers (REG)|REG|1
53|Cashmere Corners|76|76|Regency Centers|Regency Centers (REG)|REG|1
54|South Point|76|76|Regency Centers|Regency Centers (REG)|REG|1
55|Ryanwood Square|76|76|Regency Centers|Regency Centers (REG)|REG|1
56|Treasure Coast Plaza|76|76|Regency Centers|Regency Centers (REG)|REG|1
59|Pavillion|76|76|Regency Centers|Regency Centers (REG)|REG|1
62|Pine Island|76|76|Regency Centers|Regency Centers (REG)|REG|1
64|Tamarac Town Square|76|76|Regency Centers|Regency Centers (REG)|REG|1
65|Sawgrass Promenade|76|76|Regency Centers|Regency Centers (REG)|REG|1
67|Pine Ridge Square|76|76|Regency Centers|Regency Centers (REG)|REG|1
68|Shoppes of Silver Lakes|76|76|Regency Centers|Regency Centers (REG)|REG|1
69|Shoppes at Lago Mar|76|76|Regency Centers|Regency Centers (REG)|REG|1
70|Hammocks Town Center|76|76|Regency Centers|Regency Centers (REG)|REG|1
71|Countryside Shops|76|76|Regency Centers|Regency Centers (REG)|REG|1
73|Shops at Skylake|76|76|Regency Centers|Regency Centers (REG)|REG|1
77|Bird Ludlum|76|76|Regency Centers|Regency Centers (REG)|REG|1
78|Point Royale Shopping Center|76|76|Regency Centers|Regency Centers (REG)|REG|1
79|Westport Plaza|76|76|Regency Centers|Regency Centers (REG)|REG|1
80|Waterstone Plaza|76|76|Regency Centers|Regency Centers (REG)|REG|1
81|West Lake Shopping Center|76|76|Regency Centers|Regency Centers (REG)|REG|1
82|Atlantic Village|76|76|Regency Centers|Regency Centers (REG)|REG|1
83|Mandarin Landing|76|76|Regency Centers|Regency Centers (REG)|REG|1
87|Unigold Shopping Center|76|76|Regency Centers|Regency Centers (REG)|REG|1
90|Lake Mary Centre|76|76|Regency Centers|Regency Centers (REG)|REG|1
96|Shoppes at Sunlake Centre|76|76|Regency Centers|Regency Centers (REG)|REG|1
106|Shoppes of Jonathan's Landing|76|76|Regency Centers|Regency Centers (REG)|REG|1
108|Greenwood Shopping Centre|76|76|Regency Centers|Regency Centers (REG)|REG|1
111|Boynton Plaza|76|76|Regency Centers|Regency Centers (REG)|REG|1
113|Shoppes of Oakbrook|76|76|Regency Centers|Regency Centers (REG)|REG|1
117|Salerno Village|76|76|Regency Centers|Regency Centers (REG)|REG|1
119|Charlotte Square|76|76|Regency Centers|Regency Centers (REG)|REG|1
124|Coral Reef Shopping Center|76|76|Regency Centers|Regency Centers (REG)|REG|1
129|Town and Country|76|76|Regency Centers|Regency Centers (REG)|REG|1
131|Alafaya Village|76|76|Regency Centers|Regency Centers (REG)|REG|1
132|Glengary Shoppes|76|76|Regency Centers|Regency Centers (REG)|REG|1
137|Sheridan Plaza|76|76|Regency Centers|Regency Centers (REG)|REG|1
138|Concord Shopping Plaza|76|76|Regency Centers|Regency Centers (REG)|REG|1
139|South Beach Regional|76|76|Regency Centers|Regency Centers (REG)|REG|1
140|Prosperity Centre|76|76|Regency Centers|Regency Centers (REG)|REG|1
142|The Plaza at St. Lucie West|76|76|Regency Centers|Regency Centers (REG)|REG|1
143|Shoppes of Sunset II|76|76|Regency Centers|Regency Centers (REG)|REG|1
144|Shoppes of Sunset|76|76|Regency Centers|Regency Centers (REG)|REG|1
145|Kirkman Shoppes|76|76|Regency Centers|Regency Centers (REG)|REG|1
155|Williamsburg at Dunwoody|76|76|Regency Centers|Regency Centers (REG)|REG|1
160|BridgeMill Market|76|76|Regency Centers|Regency Centers (REG)|REG|1
169|Chastain Square|76|76|Regency Centers|Regency Centers (REG)|REG|1
170|Piedmont Peachtree Crossing|76|76|Regency Centers|Regency Centers (REG)|REG|1
182|Buckhead Station|76|76|Regency Centers|Regency Centers (REG)|REG|1
196|Star's at West Roxbury|76|76|Regency Centers|Regency Centers (REG)|REG|1
