tranche_id|deal_id|benchmark_id|currency_id|order_id|rate_type_id|rate_type_benchmark_id|flag_abs_clo_cre|Maturity Date|Benchmark|Currency|Rate Type|Benchmark Rate Type|Class Amount ($M)|Denomination Amount|Notional Amount ($M)|Coupon|Average Life (Years)|Price|Spread|% Subordination|Tranche Class|Yield
1|20191001|41|158|1|2|2|0|16/01/2020|Int. Libor|US Dollar|Fixed|fixed|228|||0.0275|0.23|100|0|0.061|A-1|0.0275
1|20195001|11|158|1|1|1|1|15/01/2029|3 mo. Libor|US Dollar|Floating|floating|286.875|||118||||0.325|A|
2|20191001|20|158|2|2|2|0|16/03/2022|EDSF|US Dollar|Fixed|fixed|440|||0.0299|1.1|99.9912|25|0.061|A-2|0.03017
2|20195001|11|158|3|1|1|1|15/01/2029|3 mo. Libor|US Dollar|Floating|floating|25.5|||245||||0.155|C|
3|20191001|23|158|3|2|2|0|16/11/2023|Int. Swaps|US Dollar|Fixed|fixed|426|||0.0297|2.56|99.9889|30|0.061|A-3|0.02993
3|20195002|11|158|1|1|1|1||3 mo. Libor|US Dollar|Floating|floating|264|||117|||||A-1|
4|20191001|23|158|4|2|2|0|16/07/2024|Int. Swaps|US Dollar|Fixed|fixed|100.8|||0.0311|3.75|99.9763|48|0.061|A-4|0.03137
4|20195001|11|158|4|1|1|1|15/01/2029|3 mo. Libor|US Dollar|Floating|floating|14.875|||340||||0.12|D|
5|20191001|23|158|5|2|2|0|16/08/2024|Int. Swaps|US Dollar|Fixed|fixed|20.3|||0.0337|3.83|99.9956|74|0.045|B|0.03395
5|20195002|11|158|3|1|1|1||3 mo. Libor|US Dollar|Floating|floating|22|||255|||||B|
6|20191001|23|158|6|2|2|0|16/09/2024|Int. Swaps|US Dollar|Fixed|fixed|19.04|||0.0352|3.83|99.9679|90|0.03|C|0.03555
6|20195002|11|158|2|1|1|1||3 mo. Libor|US Dollar|Floating|floating|54|||175|||||A-2|
7|20192001|23|158|1|2|2|0|25/09/2057|Int. Swaps|US Dollar|Fixed|fixed|175.455|||0.04|2.36|100.3607|105|0.3825|A-1|0.03745
7|20195001|11|158|2|1|1|1|15/01/2029|3 mo. Libor|US Dollar|Floating|floating|46.75|||180||||0.215|B|
8|20192001||158|2|2||0|25/09/2057||US Dollar|Fixed||22.731|||0.04|7.53|||0.3025|B-1|
8|20195001|11|158|5|1|1|1|15/01/2029|3 mo. Libor|US Dollar|Floating|floating|19.125|||596||||0.075|E|
9|20192001||158|3|2||0|25/09/2057||US Dollar|Fixed||9.945|||0.04|7.53|||0.2675|B-2|
9|20195001||158|6|1||1|15/01/2029||US Dollar|Floating||35.65|||||||0|Sub|
10|20192001||158|4|2||0|25/09/2057||US Dollar|Fixed||20.458|||0.04|7.53|||0.1955|B-3|
10|20195002|11|158|4|1|1|1||3 mo. Libor|US Dollar|Floating|floating|14.4|||365|||||C|
11|20192001||158|5|2||0|25/09/2057||US Dollar|Fixed||19.89|||0.0413|7.53|||0.1255|B-4|
11|20195002|11|158|5|1|1|1||3 mo. Libor|US Dollar|Floating|floating|17.75|||665|||||D|
12|20192001||158|6|2||0|25/09/2057||US Dollar|Fixed||13.355|||0.0413|7.53|||0.0785|B-5|
12|20195002|11|158|6|1|1|1||3 mo. Libor|US Dollar|Floating|floating|4|||798|||||E|
13|20192001||158|7|2||0|25/09/2057||US Dollar|Fixed||7.955|||0.0413|7.53|||0.0505|B-6|
13|20195003|11|158|1|1|1|1|24/04/2031|3 mo. Libor|US Dollar|Floating|floating|5.75||||1.3||75|0|X|
14|20192001||158|8|2||0|25/09/2057||US Dollar|Fixed||14.35|||0.0413|16.25|||0|B-7|
14|20195002||158|7|1||1|||US Dollar|Floating||23.775||||||||Sub|
15|20192002||158|1|2||0|25/02/2049||US Dollar|Fixed||78.9474|||0.04|5.05|100.2031||0.15|A-1|
15|20195003|11|158|3|1|1|1|24/04/2031|3 mo. Libor|US Dollar|Floating|floating|40||||7.6||165|0.355|A-J|
16|20192002||158|2|2||0|25/02/2049||US Dollar|Fixed||146.2105|||0.04|2.86|100.9375||0.15|A-4|
16|20195003|11|158|2|1|1|1|24/04/2031|3 mo. Libor|US Dollar|Floating|floating|476||||6.3||130|0.405|A|
17|20192002|23|158|3|2|2|0|25/02/2049|Int. Swaps|US Dollar|Fixed|fixed|48.7368|||0.04|11.63|98.2881|140|0.15|A-7|
17|20195003|11|158|4|1|1|1|24/04/2031|3 mo. Libor|US Dollar|Floating|floating|69.75||||8.1||180|0.2678|B|
18|20192002||158|4|2||0|25/02/2049||US Dollar|Fixed||32.2411|||0.04|5.05|100.4531||0.05|A-19|
18|20195003|11|158|5|1|1|1|24/04/2031|3 mo. Libor|US Dollar|Floating|floating|68||||8.8||270|0.1828|C|
19|20192002||158|5|2||0|25/02/2049||US Dollar|Fixed||42.12|||0.04|5.05|100.1094||0.05|A-22|
19|20195003|11|158|6|1|1|1|24/04/2031|3 mo. Libor|US Dollar|Floating|floating|46.25||||9.4||385|0.125|D|
20|20193001|2|158|1|1|1|0|25/12/2022|1 mo. Libor|US Dollar|Floating|floating|550|||45|1.91|100|45|0.065|A|
20|20195003||158|7|1||1|24/04/2031||US Dollar|Floating||56.5|||||||0|Sub|
21|20193002|23|158|1|2|2|0|25/01/2049|Int. Swaps|US Dollar|Fixed|fixed|192.597|||0.03675|2.69|100|95|0.346|A-1|0.03604
21|20195004|11|158|1|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|384|||128|4.6|100|128|0.36|A|
22|20193002|23|158|2|2|2|0|25/01/2049|Int. Swaps|US Dollar|Fixed|fixed|27.83|||0.03877|2.69|100|115|0.2515|A-2|0.03804
22|20195004|11|158|2|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|36.3|||190|6.5|100|190|0.25|B-1|
23|20193002|23|158|3|2|2|0|25/01/2049|Int. Swaps|US Dollar|Fixed|fixed|33.572|||0.03928|2.69|100|120|0.1375|A-3|0.03854
23|20195004|11|158|3|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|29.7|||190|6.5|100|190|0.25|B-2|
24|20193002|23|158|4|2|2|0|25/01/2049|Int. Swaps|US Dollar|Fixed|fixed|14.577|||0.04634|5.19|100|200|0.088|M-1|0.04611
24|20195004|11|158|4|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|27.3|||275|6.8|100|275|0.2045|C|
25|20193002|23|158|5|2|2|0|25/01/2049|Int. Swaps|US Dollar|Fixed|fixed|11.191||||5.19|99.8464|290|0.05|B-1|0.05511
25|20195004|11|158|5|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|37.5|||375|7|100|375|0.142|D|
26|20193002||158|6|2||0|25/01/2049||US Dollar|Fixed||7.362||||5.19|95.5931||0.025|B-2|0.065
26|20195005|11|158|2|1|1|1|15/12/2028|3 mo. Libor|US Dollar|Floating|floating|100|||160|||160|0.525|A-1R-R|
27|20193003|23|158|1|2|2|0|25/02/2028|Int. Swaps|US Dollar|Fixed|fixed|250|||0.04703|3.38|99.998|212.3||A|0.0475
27|20195004|11|158|6|1|1|1|12/02/2030|3 mo. Libor|US Dollar|Floating|floating|36.3|||650|7.6|100|650|0.0815|E|
28|20193004|2|158|1|1|1|0|27/12/2067|1 mo. Libor|US Dollar|Floating|floating|180|||33|1.12|100|33||A-1|
28|20195004||158|7|1||1|||US Dollar|Floating||49.95|||||||0|Sub|
29|20193004|2|158|2|1|1|0|27/12/2067|1 mo. Libor|US Dollar|Floating|floating|557.4|||90|7|99.6914|95||A-2|
29|20195005|11|158|1|1|1|1|15/12/2028|3 mo. Libor|US Dollar|Floating|floating|190.8|||160|||160|0.525|A-1T-R|
30|20193004|2|158|3|1|1|0|27/12/2067|1 mo. Libor|US Dollar|Floating|floating|10.6|||145|12.34|100|145||B|
30|20195005|11|158|3|1|1|1|15/12/2028|3 mo. Libor|US Dollar|Floating|floating|92|||245|||245|0.0393|B-R|
31|20193005|23|158|1|2|2|0|15/07/2030|Int. Swaps|US Dollar|Fixed|fixed|1200|||0.0352|4.99|99.9771|95|0.095|A|0.03551
31|20195005|11|158|4|1|1|1|15/12/2028|3 mo. Libor|US Dollar|Floating|floating|63.7|||350|||350|0.302|C-R|
32|20193005|23|158|2|2|2|0|15/07/2030|Int. Swaps|US Dollar|Fixed|fixed|49.446|||0.0382|4.99|99.998|125|0.0575|B|0.03851
32|20195005|11|158|5|1|1|1|15/12/2028|3 mo. Libor|US Dollar|Floating|floating|42|||450|||450|0.242|D-R|
33|20191002|41|158|1|2|2|0|15/01/2020|Int. Libor|US Dollar|Fixed|fixed|140|||0.027798|0.11|100|23|0.545|A-1|0.0278
33|20195006|||1|1||1|15/01/2032|||Floating||2.281|2||51||100|51|0|X|
34|20191002|20|158|2|2|2|0|15/09/2021|EDSF|US Dollar|Fixed|fixed|208|||0.0308|0.53|99.9974|38|0.545|A-2A|0.03105
34|20195006|8||2|1|1|1|15/01/2032|3 mo. Euribor||Floating|floating|350.7038|307.5||108||100|108|0.385|A|
35|20191002|2|158|3|1|1|0|15/09/2021|1 mo. Libor|US Dollar|Floating|floating|90|||39|0.53|100|39|0.545|A-2B|
35|20195006|||3|2||1|15/01/2032|||Fixed||57.025|50||0.0225||100||0.285|B|
36|20191002|20|158|4|2|2|0|17/10/2022|EDSF|US Dollar|Fixed|fixed|159.48|||0.0318|1.32|99.9964|48|0.545|A-3|0.03204
36|20195006|8||4|1|1|1|15/01/2032|3 mo. Euribor||Floating|floating|37.0663|32.5||260||100|260|0.22|C|
37|20191002|20|158|5|2|2|0|15/06/2023|EDSF|US Dollar|Fixed|fixed|113.07|||0.0341|1.89|99.9844|75|0.457|B|0.03443
37|20195006|8||5|1|1|1|15/01/2032|3 mo. Euribor||Floating|floating|37.0663|32.5||375||100|375|0.155|D|
