Date|comp_id|sector_id|PMSector1_id|Beginning of Month Date|Balance Sheet Date|End of Month Date|Date Last Published|MRPO Date|Price Date|Symbol|Company|Bloomberg Ticker|Currency|Sector|Sector Abbreviation|PM Sector 1|REITrader Sector|Primary Analyst|Secondary Analyst|Market Cap Rate|Development Pipeline|Funded Development|Dividend Pace|EBITDA (1-Yr Forward)|Overhead (Annual G&A)|LT NOI Growth|Pricing Model Adjustment - Market Risk|Pricing Model Adjustment - 5 Year Cash Flow|Price|Price (Split Adjusted)|52-Week Price Range|Net Price Change|Recommendation|Shares|Insider Shares (K)|Takeout Price|Takeout Probability|Daily Total Return|1-Year Total Returns|3-Year Total Returns (Annualized)|5-Year Total Returns (Annualized)|7 Year Annualized Total Return|10 Year Annualized Total Return|15 Year Annualized Total Return|20 Year Annualized Total Return|25 Year Annualized Total Return|30 Year Annualized Total Return|Value Per SF/Unit/Bed|Unit Type|MRPO|% Price Change|Public Equity|Dividend Yield|Takeout Premium|Takeout Premium to NAV|Cash|Current Assets|Land|CIP|Other RE Assets|Other Assets|Current Liabilities|Book Value of Debt|Mark to Market Adjustment in Debt|Book Value of Preferred Stock|Mark to Market Adjustment in Preferred Stock|Other Liabilities|Operating Value of RE|Total Assets|Net Assets|Liabilities|Net Liabilities|Private Equity|NAV|NAV (rounded)|NAV (Split Adjusted)|Premium to NAV|Premium to GAV|Net GAV Premium|Debt to EBITDA|Overhead as a % of Assets|EV|G&A as % of EV|Implied Value Per Unit|Nominal NOI|Economic NOI|Cap-Ex Reserve|Nominal Cap Rate|Economic Cap Rate|Implied Nominal Cap Rate|Implied Economic Cap Rate|Implied Market Cap Rate|Implied Net Nominal Cap Rate|Implied Net Economic Cap Rate|Implied Net Market Cap Rate|Leverage|Net Leverage|Net Leverage Ex-Preferreds|Comprehensive Leverage|SS NOI Growth (4 Year)|Inflation|NOI Growth plus Inflation|Pricing Model Adjustment - Sector Risk|IRR (Unlevered Return Expectation)|Implied IRR|Intrinsic NAV|Warranted Premium to GAV Component: Leverage|Warranted Price|Premium to Warranted Price|Warranted NAV Premium|Warranted Premium to GAV Component: Takeout|Warranted Premium|Intrinsic Real Estate Value|Warranted Implied Nominal Cap Rate|Implied Takeout Odds|REITrader Implied Nominal Cap Rate vs Peers (120 Day Average)|REITrader Implied Nominal Cap Rate vs Peers (60 Day Average)|REITrader Implied Nominal Cap Rate vs Peers (20 Day Average)|REITrader Implied Nominal Cap Rate vs Peers (5 Day Average)|REITrader Implied Cap Rate vs Peers|REITrader Warranted Implied Nominal Cap Rate Spread|REITrader Implied Nominal Cap Rate|REITrader Warranted Price|REITrader Premium to Warranted Price|Dividend Coverage Year|Dividend Coverage|Debt Maturities Measured Through Year|Implied Fully-Loaded Forward 16Q Economic Cap Rate|Same Store NOI (2019)|Same Store NOI (2022)|Nominal Cap Rate (2019 NOI)|Nominal Cap Rate (2022 NOI)|Implied Net Nominal Cap Rate (2019 NOI)|Implied Net Nominal Cap Rate (2022 NOI)|Year 1 - Defined|Year 2 - Defined|Year 3 - Defined|Year 4 - Defined|AFFO (Year 0)|AFFO (Year 1)|AFFO (Year 2)|AFFO (Year 3)|AFFO (Year 4)|AFFO Yield (Year 0)|AFFO Yield (Year 1)|AFFO Yield (Year 2)|AFFO Yield (Year 3)|AFFO Yield (Year 4)|AFFO Growth (Year 1)|AFFO Growth (Year 2)|AFFO Growth (Year 3)|AFFO Growth (Year 4)|AFFO (12-Month Back)|AFFO (12-Month Forward)|1-Year Forward REIT AFFO Yield|AFFO Growth (12-Month Forward)|AFFO Multiple (12-Month Forward)|EBITDA (Year 1)|EBITDA (Year 2)|EBITDA (Year 3)|EBITDA (Year 4)|EBITDA Multiple (Year 1)|EBITDA Multiple (Year 2)|EBITDA Multiple (Year 3)|EBITDA Multiple (Year 4)|FFO (Year 0)|FFO (Year 1)|FFO (Year 2)|FFO (Year 3)|FFO (Year 4)|FFO Yield (Year 0)|FFO Yield (Year 1)|FFO Yield (Year 2)|FFO Yield (Year 3)|FFO Yield (Year 4)|FFO Growth (Year 1)|FFO Growth (Year 2)|FFO Growth (Year 3)|FFO Growth (Year 4)|FFO (12-Month Back)|FFO (12-Month Forward)|FFO Growth (12-Month Forward)|FFO Multiple (12-Month Forward)|Same Store NOI Growth (Year 0)|Same Store NOI Growth (Year 1)|Same Store NOI Growth (Year 2)|Same Store NOI Growth (Year 3)|Same Store NOI Growth (Year 4)|Same Store NOI Growth (Year 5)|Same Store NOI Growth (12 Month Forward)|Non-staggered Board|Investment by Board Members|Independent Directors that own > $200K|Insider Ownership|Board Investment|Conduct|Proxy Access|Total Board Rating|State of Incorporation|Business Combination Provision|Control Share Acquistion Provision|Board Later Vote|Shareholder Amendments|State Anti-takeover Provisions|Ownership Limits from 5/50 Rule|Insider Blocking Power|Shareholder Rights Plan|Board Authority Rights Plan|Shareholder Rights Plan Total|Total WME Rating|Other Business Dealings with Management|Divergent Tax Basis of Insiders|Total Other Issues Rating|Total Corporate Governance Score
27/04/2016|10|9|9||31/12/2015|||03/08/2015|27/04/2016|BXP|Boston Properties|BXP US EQUITY|USD|Office||Office||JR|TG||2597692|1098365.382|2.6|1425000|104500||||130.6|130.6||0.05|HOLD|171726.19457143|10425.689|127.25|0|0.000383||||||||||838.36776791|SF|HOLD|0.000383|22427.44101103|0.01990812|-0.02565084||509331.7925|192035|394350|2053694.10285603|0|265721|458592.7925|8346773.76918866|374032.84375631|200000|5760|272166|30720584.4103229|34135716.305679|33626384.4356814|9657325.40544497|9147993.61294497|24478390.900234|142.543139|142.5|142.543139|-0.08378614|-0.060082|-0.060992|5.49995928|0.0030613|28669634.5986153|||1340624.6770632|1083865.1997712|0.19152227|0.0436393|0.0352814|0.046428|0.037536||0.04647385|0.04647385||0.2829097|0.272048|0.265929|0.287103|||||||||133.30278|-0.0202755|-0.064826||||0.045766|0.44653531||||||||||2016|1.56923077|2018|0.041401|||||||2016|2017|2018|2019|3.38|4.08|4.34|5.05|5.67|0.02588055|0.03124043|0.03323124|0.03866769|0.04341501|0.20710059|0.06372549|0.16359447|0.12277228|3.555|4.145||0.165963|31.50784077|||||||||5.33|5.88|6.28|7.16|7.95|0.04081164|0.04502297|0.04808576|0.05482389|0.06087289|||||5.4675|5.98|0.093735|21.83946488|0.007|0.022|0.05|0.073|0.072||0.029|30|1|3|1||20||57|DE|0|2|0||7|5|8|0|0||20|2|0|2|79
27/04/2016|12|7|7||31/12/2015|||20/05/2015|27/04/2016|CBL|CBL & Associates|CBL US EQUITY|USD|Mall||Mall||DB|SA||144122|99256|1.06|723332.66611748|62118||||12.06|12.06||0.15|SELL|200286.404|44349|17|0.2|0.01259446||||||||||393.29147896|SF|SELL|0.01259446|2415.45403224|0.08789386|0.40961857||123792|56005|0|137188.19232036|5000|107659.19011121|344434|5073240|53461.50809377|626250|-46935|-74855|10602351.6898297|11031996.0722613|10908204.0205172|5975595.50809377|5851803.50809377|5056400.56416752|25.24585|25.25|25.24585|-0.52229772|-0.239389|-0.242106|6.84256115|0.00563071|7961405.20964632|||769974.66611748|657114.85945666|0.146576|0.07262301|0.06197822|0.095479|0.081484||0.09582218|0.09582218||0.54166041|0.5364589|0.48335|0.518591|||||||||10.780008|0.11873757|-0.572999||||0.098488|0.36462941||||||||||2016|1.60680508|2018|0.074515|||||||2016|2017|2018|2019|1.71425968|1.70321338|1.59111941|1.56198228|1.53824503|0.14214425|0.14122831|0.13193362|0.1295176|0.12754934|-0.00644377|-0.06581323|-0.01831235|-0.01519688|1.71149811|1.67518989||-0.021215|7.19918386|||||||||2.35958858|2.35866751|2.24567708|2.21684172|2.19693317|0.19565411|0.19557774|0.18620871|0.18381772|0.18216693|||||2.35935831|2.3304199|-0.012266|5.17503304|0.002|0.01633558|0.00293763|0.00122782|0.00167712||0.01298609|30|0|2|1||5||42|DE|0|2|0||7|0|8|5|0||20|1|0|1|63
27/04/2016|18|1|1||31/12/2015|||02/11/2015|27/04/2016|CPT|Camden Prop Trust|CPT US EQUITY|USD|Apartment||Apartment||DBr|JP||1059673.6|749573.6|3|557892.46273636|44780.02||||82.04|77.98050492||-0.6|BUY|91534|4355.604|92|0.1|-0.00726041||||||||||202.6|Unit|BUY|-0.00726041|7509.44936|0.03656753|0.12140419||10617|25100|140599|966720.39174333|412287.97152441|215549.8896|242851|2883671.73382675|108622.96512742|0|0|96046|10413440.76355|12184315.0164177|12173697.9611582|3331191.69895417|3320574.69895417|8853123.31746357|96.719506|96.75|91.93364108|-0.151774|-0.110278|-0.110375|5.14983608|0.00367521|9069766.861346|||546705.6400864|477304.8400864|0.12694363|0.0525|0.04583546|0.059007|0.051516||0.05901364|0.05901364||0.27339999|0.2727663|0.272766|0.236226|||||||||82.498481|-0.00555745|-0.147034||||0.058779|0.05657187||||||||||2016|1.36303518|2018|0.050964|||||||2016|2017|2018|2019|3.78084743|4.08910555|4.31717957|4.54114681|4.66403517|0.04608541|0.04984283|0.05262286|0.05535284|0.05685075|0.08153149|0.05577602|0.05187814|0.02706109|3.85791196|4.14612406||0.074706|19.78715516|||||||||4.53571008|4.84796615|5.09412553|5.31923825|5.4449064|0.05528657|0.05909271|0.06209319|0.06483713|0.06636892|||||4.6137741|4.909506|0.064097|16.71043891|0.052|0.04190235|0.03596288|0.02211489|0.01572976||0.04041748|30|1|3|0||10||46|TX|2|2|3||7|0|8|5|0||20|2|0|2|68
27/04/2016|20|9|9||31/12/2015|||01/10/2014|27/04/2016|CUZ|Cousins Properties|CUZ US EQUITY|USD|Office||Office||JR|CB||306500|66122|0.32|202000|20000||||10.69|30.18132629||0.09|HOLD|211619.495|18931|12|0.1|0.00849057||||||||||261.85939741|SF|HOLD|0.00849057|2262.21240155|0.02993452|0.12254443||2003|35119.89273284|29349.25|182058.44530921|0|35359.1|102368|938249|30625.97772531|0|0|0|3451779.83671092|3735669.52475297|3733666.33758858|1071242.97772531|1069239.97772531|2664426.54702766|12.590647|12.5|35.54746729|-0.15095706|-0.107668|-0.107726|4.63488119|0.00535379|3049565.87839766|||220608.01828878|168037.62756978|0.23829773|0.06391138|0.04868144|0.071622|0.054555||0.07162755|0.07162755||0.28676065|0.286378|0.286378|0.305334|||||||||10.651899|0.00357692|-0.153984||||0.071796|0.12543645||||||||||2016|1.5|2018|0.056985|||||||2016|2017|2018|2019|0.47|0.48|0.55|0.62|0.71|0.04396632|0.04490178|0.05144995|0.05799813|0.06641721|0.0212766|0.14583333|0.12727273|0.14516129|0.4725|0.4975||0.05291|21.48743719|||||||||0.89|0.9|0.99|1.1|1.22|0.08325538|0.08419083|0.09260992|0.10289991|0.11412535|||||0.8925|0.9225|0.033613|11.58807588|0.073|0.027|0.082|0.049|0.034||0.04075|30|1|2|1||10||46|GA|2|2|0||4|0|8|5|0||17|3|1|4|67
27/04/2016|22|11|11||31/12/2015|||09/03/2016|27/04/2016|DDR|DDR Corp|DDR US EQUITY|USD|Strip Center||Strip Center||JW|JC||84000|75000|0.76|739725.17985249|49000||||17.71|29.23634063||0.02|HOLD|366100|57602|0|0|0.00113058||||||||||211.72956248|SF|HOLD|0.00113058|6483.631|0.04291361|||22416|155027|116000|92242.10144927|40000|1143482.09321751|68604|5582800|150000.06281187|350000|11240|295278|11556428.016948|13125595.2116148|13103179.1938119|6457922.06281187|6435506.06281187|6667673.14880291|18.21271|18.25|30.06623339|-0.02760215|-0.014021|-0.014045|7.51682402|0.00373316|11372385.885948|||717654.17985249|625794.44483137|0.128|0.0621|0.0541512|0.062983|0.054921||0.06298466|0.06298466||0.49200984|0.4911408|0.463571|0.479317|||||||||17.641523|0.00388158|-0.031362||||0.063105|0||||||||||2016|1.28116563|2018|0.055693|||||||2016|2017|2018|2019|0.94|0.97368588|1.02865209|1.08744379|1.14999901|0.05307736|0.05497944|0.05808312|0.06140281|0.06493501|0.03583604|0.05645169|0.05715412|0.05752501|0.94842147|0.98742743||0.041127|17.93549522|||||||||1.23|1.2469562|1.30974444|1.38152684|1.45528878|0.06945229|0.07040972|0.07395508|0.07800829|0.08217328|||||1.23423905|1.26265326|0.023021|14.0260201|0.031|0.02902683|0.02880893|0.02890449|0.02890238||0.02897236|30|1|3|1||5||42|OH|0|2|0||4|0|8|5|0||17|3|2|5|64
27/04/2016|24|6|6||31/12/2015|||01/04/2016|27/04/2016|DRE|Duke Realty Corp|DRE US EQUITY|USD|Industrial||Industrial||EF|VT||608465.90625867|303251.5|0.72|581476.79453996|50000||||22.26|20.97422723||0.03|BUY|352588|1745.193|||0.00134953||||||||||85.24735319|SF|BUY|0.00134953|7848.60888|0.03234501|||54053|411796.03|383937.75|422202.76177945|157646.5|56788|321601|3340916|160059.54487662|0|0|179773.44|10399409.8632262|11885833.9050056|11831780.6965446|4002349.98487662|3948296.98487662|7883483.92012902|22.358911|22.25|21.06742497|-0.00442378|-0.002934|-0.002947|5.6526125|0.00420668|10364535.0315582|||606646.99375101|522727.19405101|0.13833383|0.05833475|0.05026508|0.058506|0.050412||0.0585072|0.0585072||0.33673279|0.3337026|0.333702|0.348478|||||||||23.364391|-0.04726813|0.044969||||0.056645|0.04726813||||||||||2016|1.25481826|2018||||||||2016|2017|2018|2019|0.88201191|0.90346915|0.96377253|1.05095391|1.14896196|0.03962318|0.04058711|0.04329616|0.04721266|0.05161554|0.02432761|0.06674647|0.09045846|0.09325628|0.88737622|0.918545||0.035124|24.23397887|||||||||1.17070621|1.18226378|1.25164091|1.35612953|1.47291938|0.05259237|0.05311158|0.05622825|0.06092226|0.06616888|||||1.1735956|1.19960806|0.022164|18.55606068|0.047|0.03179012|0.02695668|0.0252741|0.02009579||0.03058176|30|0|3|0||10||48|IN|0|0|0||4|0|8|5|5||22|3|2|5|75
27/04/2016|27|1|1||31/12/2015|||01/03/2016|27/04/2016|EQR|Equity Residential|EQR US EQUITY|USD|Apartment||Apartment||DBr|CW||2794289|2013043|2.015|1532172.02625|52026.733||||68.75|65.62547338||-1.78|BUY|382728.666|14974.295|77.75|0|-0.02523749||||||||||488.23916107|Unit|BUY|-0.02523749|26312.5957875|0.02930909|0.13090909||233575.67948688|112839|197011.6|3005280.18087157|-163316.90467199|267917|559305|8973886.5664426|219877.6834009|37280|0|421747|37876784.495876|41530091.0515625|41296515.3357085|10212096.2498435|9978520.57035662|31317994.801719|81.828192|81.75|78.10929215|-0.15982501|-0.120524|-0.121206|5.70452321|0.00125274|32871385.5180241|||1628701.7333227|1535607.7232152|0.05715842|0.043|0.04054219|0.048892|0.046098||0.04893071|0.04893071||0.24589631|0.241631|0.240728|0.187965|||||||||79.33055|-0.13337296|-0.030524||||0.044013|1||||||||||2016|1.42102918|2018|0.048887|||||||2016|2017|2018|2019|3.15311415|2.86337379|3.03782972|3.12610027|3.2337735|0.04586348|0.04164907|0.04418661|0.04547055|0.04703671|-0.09189022|0.0609267|0.02905711|0.03444331|3.08067906|2.90698777||-0.056381|23.64991028|||||||||3.46243563|3.09998336|3.27044003|3.36216063|3.47283104|0.0503627|0.04509067|0.04757004|0.04890415|0.05051391|||||3.37182256|3.14259753|-0.067983|21.87680713|0.065|0.0569254|0.0393775|0.03004984|0.02214137||0.05253843|5|1|3|0||25||38|MD|0|2|0||2|5|8|5|0||20|2|0|2|60
27/04/2016|30|11|11||31/12/2015|||23/09/2015|27/04/2016|FRT|Federal Realty|FRT US EQUITY|USD|Strip Center||Strip Center||JW|JC||837307.21003135|289307.21003135|3.76|485889.54895866|35000||||154.56|154.56||1.1|BUY|70612|841.548|0|0|0.00716799||||||||||462.77067447|SF|BUY|0.00716799|10913.79072|0.02432712|||21046|81558.35|181686.85148896|837859.65257895|0|260618|260261|2689794|63352.79886507|9997.4|0|-27370.86|10813457.1268342|12196225.9809022|12175179.9648611|2996034.33886507|2974988.33886507|9200191.64203709|130.292183|130.25|130.292183|0.18625689|0.140502|0.140745|5.49249928|0.00286974|12527056.2208383|||514934.54895866|445162.35091163|0.13549722|0.04761979|0.04116744|0.041753|0.036095||0.04174446|0.04174446||0.24565257|0.2443486|0.243527|0.285496|||||||||160.464595|-0.03679687|0.231574||||0.040538|0.03679687||||||||||2016|1.1902137|2018|0.03782|||||||2016|2017|2018|2019|4.21|4.4752035|4.88174693|5.29564164|5.77913797|0.02723861|0.02895447|0.0315848|0.03426269|0.0373909|0.06299371|0.09084356|0.08478414|0.0913008|4.27630088|4.57683936||0.07028|33.77002947|||||||||5.32|5.68003507|6.18071567|6.71098687|7.28803705|0.03442029|0.03674971|0.0399891|0.04341995|0.04715345|||||5.41000877|5.80520522|0.073049|26.62438176|0.038|0.03110708|0.04474392|0.0383|0.0383||0.03451629|30|1|3|0||20||59|MD|0|2|0||2|0|8|0|0||10|3|2|5|74
27/04/2016|33|7|7||31/12/2015|||30/11/2015|27/04/2016|GGP|General Growth|GGP US EQUITY|USD|Mall||Mall||DB|SA||1518000|778622|0.76|2249327.5154973|180901.6||||28.94|28.64353025||0.04|BUY|956002|315041|35|0.3|0.00138408||||||||||893.33916495|SF|BUY|0.00138408|27666.69788|0.02626123|0.20939876||569640|0|0|3380998.8428747|676325|556903.55508529|980290|19970136|405854.29906711|407903|7300|0|50905898.7213112|56089766.1192712|55520125.8544871|21771483.2990671|21201843.2990671|34318282.820204|35.89771|36|35.52996345|-0.19382044|-0.118588|-0.119804|8.62502053|0.00322521|44254314.0458912|||2298467.51549729|2059524.57875501|0.1039575|0.0451513|0.04045748|0.051226|0.0459||0.05129692|0.05129692||0.38815429|0.3818767|0.374398|0.316647|||||||||31.719575|-0.08762964|-0.116391||||0.048613|0||||||||||2016|1.63683074|2018|0.047348|||||||2016|2017|2018|2019|1.15338847|1.24399136|1.35766906|1.46944866|1.57301182|0.03985447|0.04298519|0.04691324|0.0507757|0.05435424|0.07855366|0.09138142|0.08233199|0.07047756|1.17603919|1.27241079||0.081945|22.74422721|||||||||1.43798808|1.56999111|1.70043284|1.76729011|1.88674023|0.0496886|0.05424987|0.05875718|0.06106738|0.06519489|||||1.47098884|1.60260154|0.089472|18.05813812|0.042|0.0470436|0.04401332|0.03842162|0.03392893||0.04628603|30|1|2|1||10||45|DE|0|1|0||3.5|0|0|2.5|0||6|3|2|5|56
27/04/2016|34|4|4||31/12/2015|||05/04/2016|27/04/2016|HCP|HCP, Inc.|HCP US EQUITY|USD|Health Care||Health Care||KTy|AS||442103|281866|2.26|1853712.7587515|87000||||34.23|31.16179258||-0.27|BUY|472471|1050.859|37.5|0.3|-0.00782609||||||||||||BUY|-0.00782609|16172.68233|0.06602396|0.09553024||346500|109545|320873|444243.03749128|0|1237242.24836373|436239|11463804|253725.81158744|0|0|0|26870136.9766651|29328540.2625201|28982039.9264504|12153768.8115874|11807268.8115874|17174771.4509327|36.350953|36.25|33.09263387|-0.05834656|-0.034167|-0.034576|5.99731752|0.00296639|25868048.1918021|||1846168.75875156|1723522.16322085|0.06643304|0.06870708|0.06414266|0.071137|0.066411||0.07116779|0.07116779||0.41440074|0.4073995|0.407399|0.412986|||||||||34.077079|0.0044875|-0.062554||||0.071319|0.33127289||||||||||2016|1.05269088|2018||||||||2016|2017|2018|2019|2.63790379|2.37908138|2.53713253|2.68951106|2.82981671|0.07706409|0.06950282|0.07412014|0.07857175|0.08267066|-0.0981167|0.06643369|0.06005935|0.05216772|2.57319819|2.41859417||-0.060083|14.15284981|||||||||3.15858767|2.86834897|3.0403541|3.20710366|3.36050923|0.09227542|0.08379635|0.08882133|0.09369277|0.09817439|||||3.086028|2.91135025|-0.056603|11.7574311|0.005|0.01307397|0.02597113|0.02275917|0.02258063||0.01629826|5|1|3|0||15||29|MD|0|2|0||2|0|8|5|0||15|2|2|4|48
