auto_id|comp_id|sector_id|sector_id_nav|Symbol|Sector|NAV Sector|Cap-Ex Reserve|Economic Cap Rate|Nominal Cap Rate|Nominal NOI|Economic NOI|Operating Value of RE|Property Type
17300|83|7|7|SKT|Mall|Mall|0.22|0.06513167|0.08350214|258969.39124139|201996.12516828|3101350.33352316|Outlets
17301|54|7|7|MAC|Mall|Mall|0.3|0.0500367|0.071481|551601.02897232|386120.72028063|7716750.69551879|Regional malls
17302|54|7|7|MAC|Mall|Mall|0.17|0.0626306|0.07545856|37909.63224022|31464.99475938|502390.10161746|Outlets
17303|54|7|7|MAC|Mall|Mall|0.23|0.05005|0.065|9000|6930|138461.53846154|Community Centers
17304|85|7|7|SPG|Mall|Mall|0.29519217|0.04883238|0.06928467|2389079.43835197|1683841.89568186|34482078.7711545|Regional malls
17305|85|7|7|SPG|Mall|Mall|0.17|0.05405313|0.06512425|1531761.04759623|1271361.66950487|23520594.4777068|Outlets
17306|85|7|7|SPG|Mall|Mall|0.235|0.05426386|0.07093315|538323.12483205|411817.19049652|7589160.95985525|Mills
17307|85|7|7|SPG|Mall|Mall|0.17|0.05458485|0.06576488|143179.53682104|118839.01556146|2177142.85714286|International
17316|239|19|19|CONE|Data Center|Data Center|0.19306542|0.05241764|0.06495897|587826.7748|474337.75345322|9049201.4067684|Data Centers-Enterprise & Other
17317|226|19|19|COR|Data Center|Data Center|0.2|0.04514503|0.05643128|266345.0666409|213076.05331272|4719812.43639642|Data Centers-Enterprise
17318|226|19|19|COR|Data Center|Data Center|0.125|0.04512079|0.05156662|132529.53168842|115963.34022736|2570064.23238981|Data Centers-Network Dense
17319|226|19|19|COR|Data Center|Data Center|0.2|0.0496|0.062|9423.16889069|7538.53511255|151986.59501106|Data Centers-Other
17320|270|19|19|EQIX|Data Center|Data Center|0.15271638|0.04685631|0.05530181|3549882.6084|3007757.37140561|64191080.2454931|Data Centers-Enterprise & Other
17321|332|19|19|QTS|Data Center|Data Center|0.2|0.05407237|0.06759047|316925.9732595|253540.7786076|4688915.375274|Data Centers-Enterprise & Other
17322|186|19|19|DLR|Data Center|Data Center|0.125|0.04470343|0.05108963|824253|721221.375|16133470.0896403|Data Centers-Network Dense
