sector_id|weight_id|Sector|Weighting|AFFO Growth (Year 1)|AFFO Growth (Year 2)|AFFO Growth (Year 3)|AFFO Growth (Year 4)|1-Year Forward REIT AFFO Yield|AFFO Yield (Year 0)|AFFO Yield (Year 1)|AFFO Yield (Year 2)|AFFO Yield (Year 3)|AFFO Yield (Year 4)|Cap-Ex Reserve|Economic Cap Rate|Implied Economic Cap Rate|Market Cap Rate|Implied Market Cap Rate|Nominal Cap Rate|Implied Nominal Cap Rate|Implied Net Nominal Cap Rate|Nominal Cap Rate (2019 NOI)|Nominal Cap Rate (2022 NOI)|Implied Net Nominal Cap Rate (2019 NOI)|Implied Net Nominal Cap Rate (2022 NOI)|Debt to EBITDA|Dividend Coverage|Dividend Yield|EBITDA Multiple (Year 1)|EBITDA Multiple (Year 2)|EBITDA Multiple (Year 3)|EBITDA Multiple (Year 4)|Net GAV Premium|Premium to GAV|IRR (Unlevered Return Expectation)|Implied IRR|Comprehensive Leverage|Net Leverage|Net Leverage Ex-Preferreds|Premium to NAV|Year 1 - Defined|Year 2 - Defined|Year 3 - Defined
1|0|Apartment||-0.01390023|0.06222845|0.06210043|0.05385593|0.03368498|0.03363653|0.03316897|0.03523302|0.03742101|0.03943635|0.15596579|0.03546743|0.0352131|||0.04207143|0.04175669|0.04176107|0.0455819|0.04397651|0.04528625|0.0436458|6.13511789|1.07647565|0.03112244|||||0.00837957|0.00846577|0.06048467|0.05798946|0.26287958|0.27036394|0.2688196|0.01195474|2021|2022|2023
4|0|Health Care||0.00193844|0.06065801|0.05533818|0.05428519|0.05194248|0.05106757|0.05116656|0.05427023|0.05727344|0.06038254|0.11626245|0.05789691|0.04947166|||0.06435595|0.05538505|0.055165|0.06676017|0.07005843|0.05735161|0.06018796|5.81375297|1.11578136|0.04520486|||||0.1584363|0.15324299|0.074979|0.06184844|0.31958913|0.38773645|0.38773645|0.29699384|2021|2022|2023
5|0|Lodging|||18.56511589|0.20872324|0.10441521|-0.01309583|0|0.00199106|0.03895531|0.04708619|0.0520027|0.3|0.01410297|0.01308929|0.01378659|0.01267646|0.0201471|0.01869899|0.0186565|0.09273927|0.07809922|0.08768353|0.07373124|4.44963788|-23.53667388|0.00059812|95.23498101|14.62177835|13.26832464|12.56423759|0.05965205|0.05718989||||0.39701469|0.36119842|0.12025706|2021|2022|2023
6|0|Industrial||0.08106409|0.08194841|0.08356992|0.07491346|0.02675606|0.02425288|0.02621891|0.02836751|0.03073818|0.03304089|0.1380587|0.0359722|0.03213294|||0.04172163|0.03725201|0.03719524|0.03791105|0.04284473|0.03386663|0.03824594|3.91743493|1.27997969|0.02030068|||||0.13105772|0.12898654|0.06257635|0.05495336|0.19535927|0.1917425|0.16281594|0.16056901|2021|2022|2023
7|0|Mall||-0.02016747|0.06828856|-0.04945868|-0.01217824|0.04837471|0.04854167|0.04756271|0.0508107|0.04829767|0.04770949|0.25110113|0.05578768|0.0514703|||0.07434237|0.06869833|0.06854757|0.09139444|0.07856893|0.08434214|0.07245107|9.39470543|1.10913179|0.04311717|||||0.08550521|0.08309587|0.06087294|0.04927525|0.57602938|0.63568268|0.63416782|0.21135732|2021|2022|2023
8|0|Manufactured Home Park||0.13014581|0.07806476|0.06314588|0.05485971|0.03174439|0.02755106|0.03113672|0.0335674|0.03568704|0.03764482|0.127935|0.03708181|0.03194932|||0.04250097|0.03666117|0.03664921|0.03994453|0.04665942|0.03453742|0.04029406|4.78212837|1.5007304|0.0207807|||||0.16183862|0.16143922|0.07525171|0.06499857|0.20010747|0.21334097|0.21153134|0.20488799|2021|2022|2023
9|0|Office||-0.04920181|0.1275145|0.07982993|0.03878413|0.03347887|0.03428266|0.03259589|0.03675234|0.03968627|0.04122547|0.26380579|0.0394188|0.04408285|||0.05364747|0.06014535|0.06034242|0.05490213|0.05660579|0.06195592|0.06371685|7.30592712|0.95524508|0.03272551|||||-0.10371299|-0.1020734|0.04256227|0.04132547|0.40476257|0.36055349|0.35112035|-0.17624802|2021|2022|2023
10|0|Self-Storage||0.09483256|0.04328258|0.04686972|0.05917314|0.04069667|0.03677368|0.04026102|0.04200362|0.04397232|0.0465743|0.05077408|0.04893638|0.04076632|||0.0515605|0.04295413|0.04291594|0.04862258|0.05182719|0.04050437|0.04315792|4.83481484|1.37959431|0.02945184|||||0.20811545|0.20708625|0.06493232|0.05803795|0.25498286|0.27529729|0.25253792|0.29607974|2021|2022|2023
11|0|Strip Center||0.01682335|0.11305537|0.04078067|0.0484874|0.03512652|0.0335958|0.034161|0.03802308|0.03957369|0.04149251|0.2238734|0.04903614|0.04442954|||0.06336061|0.0574089|0.05719564|0.07047767|0.06687989|0.06358466|0.06035671|7.05261764|1.13360796|0.0319356|||||0.11038326|0.10616956|0.06527572|0.05356446|0.38008493|0.43477177|0.42318222|0.19762875|2021|2022|2023
12|0|Student Housing||-0.05893153|0.2291153|0.00761722|0.07175426|0.03578504|0.03596589|0.03384636|0.04160108|0.04191797|0.04492576|0.13557143|0.03587379|0.03611974|||0.0415|0.04178453|0.04178596|0.04797114|0.04792316|0.04830169|0.04825338|8.66971136|0.82131442|0.04121|||||-0.00684344|-0.00680953|0.06096366|0.05755862|0.42445927|0.40770285|0.40770285|-0.01155406|2021|2022|2023
18|0|Life Science|||||||||||||||||||||||||||||||||||||||2021|2022|2023
