Beginning of Month Date|End of Month Date|sector_id|Sector|Commercial Property Price Index (CPPI)|CPRI
01/01/1998|01/12/1997|1|Apartment|48.99367895|26.28849148
01/01/1998|01/12/1997|4|Health Care||
01/01/1998|01/12/1997|6|Industrial|53.80002242|28.67696974
01/01/1998|01/12/1997|7|Mall|48.38000634|27.33967455
01/01/1998|01/12/1997|8|Manufactured Home Park|51.9371994|27.13876307
01/01/1998|01/12/1997|9|Office|41.77753399|25.87172856
01/01/1998|01/12/1997|10|Self-Storage|46.80629988|22.60187124
01/01/1998|01/12/1997|11|Strip Center|52.57416446|28.85739532
01/01/1998|01/12/1997|13|Retail|50.4917104|28.22024664
01/01/1998|01/12/1997|100|GS Universe|47.80330942|26.50287381
01/01/1998|01/12/1997|101|GS Major Sector|48.36950359|27.23677599
01/02/1998|01/01/1998|1|Apartment|49.21290845|26.57428687
01/02/1998|01/01/1998|4|Health Care||
01/02/1998|01/01/1998|6|Industrial|54.05992591|28.9863414
01/02/1998|01/01/1998|7|Mall|48.36189103|27.47951073
01/02/1998|01/01/1998|8|Manufactured Home Park|51.9371994|27.3154589
01/02/1998|01/01/1998|9|Office|42.08100276|26.18260126
01/02/1998|01/01/1998|10|Self-Storage|46.80629988|22.77004699
01/02/1998|01/01/1998|11|Strip Center|52.57070698|29.03354623
01/02/1998|01/01/1998|13|Retail|50.48059713|28.37854752
01/02/1998|01/01/1998|100|GS Universe|47.96594005|26.7477995
01/02/1998|01/01/1998|101|GS Major Sector|48.56720653|27.5042756
01/03/1998|01/02/1998|1|Apartment|49.79891238|27.06077688
01/03/1998|01/02/1998|4|Health Care||
01/03/1998|01/02/1998|6|Industrial|54.87968831|29.59856762
01/03/1998|01/02/1998|7|Mall|48.52337685|27.72216951
01/03/1998|01/02/1998|8|Manufactured Home Park|55.08463918|29.14864591
01/03/1998|01/02/1998|9|Office|42.5550664|26.60198116
01/03/1998|01/02/1998|10|Self-Storage|49.68926812|24.34196314
01/03/1998|01/02/1998|11|Strip Center|52.82716879|29.35433206
01/03/1998|01/02/1998|13|Retail|50.68801003|28.66062083
01/03/1998|01/02/1998|100|GS Universe|48.69847877|27.31250848
01/03/1998|01/02/1998|101|GS Major Sector|49.0825744|27.95386847
01/04/1998|01/03/1998|1|Apartment|52.24432604|28.56285162
01/04/1998|01/03/1998|4|Health Care||
01/04/1998|01/03/1998|6|Industrial|55.49848195|30.1086308
01/04/1998|01/03/1998|7|Mall|51.38378868|29.50866329
01/04/1998|01/03/1998|8|Manufactured Home Park|55.08463918|29.32881217
01/04/1998|01/03/1998|9|Office|46.7386695|29.34364364
01/04/1998|01/03/1998|10|Self-Storage|49.68926812|24.51535863
01/04/1998|01/03/1998|11|Strip Center|53.80192395|30.07711186
01/04/1998|01/03/1998|13|Retail|52.64965954|29.93695535
01/04/1998|01/03/1998|100|GS Universe|51.02472252|28.77577708
01/04/1998|01/03/1998|101|GS Major Sector|51.50470163|29.49367363
01/05/1998|01/04/1998|1|Apartment|52.22490698|28.72596953
01/05/1998|01/04/1998|4|Health Care||
01/05/1998|01/04/1998|6|Industrial|55.49848195|30.28585538
01/05/1998|01/04/1998|7|Mall|51.36347943|29.64980093
01/05/1998|01/04/1998|8|Manufactured Home Park|55.08463918|29.51009202
01/05/1998|01/04/1998|9|Office|46.7386695|29.46950881
01/05/1998|01/04/1998|10|Self-Storage|49.68926812|24.68998927
01/05/1998|01/04/1998|11|Strip Center|53.79832093|30.25710831
01/05/1998|01/04/1998|13|Retail|52.63749181|30.09812725
01/05/1998|01/04/1998|100|GS Universe|51.01728923|28.9313024
01/05/1998|01/04/1998|101|GS Major Sector|51.49693981|29.65050679
01/06/1998|01/05/1998|1|Apartment|52.93586638|29.29182433
01/06/1998|01/05/1998|4|Health Care||
01/06/1998|01/05/1998|6|Industrial|56.12370024|30.80530852
01/06/1998|01/05/1998|7|Mall|51.84608129|30.08198229
01/06/1998|01/05/1998|8|Manufactured Home Park|55.7340791|30.04041208
01/06/1998|01/05/1998|9|Office|47.32699528|29.96686305
01/06/1998|01/05/1998|10|Self-Storage|50.27296048|25.15589346
01/06/1998|01/05/1998|11|Strip Center|54.18241291|30.65624132
01/06/1998|01/05/1998|13|Retail|53.07268007|30.51600329
01/06/1998|01/05/1998|100|GS Universe|51.59356626|29.41870882
01/06/1998|01/05/1998|101|GS Major Sector|52.0857317|30.15168
01/07/1998|01/06/1998|1|Apartment|52.61359477|29.291807
01/07/1998|01/06/1998|4|Health Care||
01/07/1998|01/06/1998|6|Industrial|56.57873414|31.23639395
01/07/1998|01/06/1998|7|Mall|52.1727549|30.42742657
01/07/1998|01/06/1998|8|Manufactured Home Park|55.7340791|30.2260903
01/07/1998|01/06/1998|9|Office|47.92566391|30.47447093
01/07/1998|01/06/1998|10|Self-Storage|50.27296048|25.33508683
01/07/1998|01/06/1998|11|Strip Center|54.58503627|31.06958618
01/07/1998|01/06/1998|13|Retail|53.43706971|30.89694446
01/07/1998|01/06/1998|100|GS Universe|51.85038659|29.72848667
01/07/1998|01/06/1998|101|GS Major Sector|52.36615107|30.47894312
01/08/1998|01/07/1998|1|Apartment|52.34131531|29.31969667
01/08/1998|01/07/1998|4|Health Care||
01/08/1998|01/07/1998|6|Industrial|56.30802249|31.26921692
01/08/1998|01/07/1998|7|Mall|52.2782964|30.64560514
01/08/1998|01/07/1998|8|Manufactured Home Park|55.7340791|30.41291619
01/08/1998|01/07/1998|9|Office|48.04086983|30.6766511
01/08/1998|01/07/1998|10|Self-Storage|50.27296048|25.51555666
01/08/1998|01/07/1998|11|Strip Center|54.58135413|31.25405132
01/08/1998|01/07/1998|13|Retail|53.48931691|31.09943714
01/08/1998|01/07/1998|100|GS Universe|51.80309082|29.86567822
01/08/1998|01/07/1998|101|GS Major Sector|52.28003248|30.59469563
01/09/1998|01/08/1998|1|Apartment|53.05399411|29.89863215
01/09/1998|01/08/1998|4|Health Care||
01/09/1998|01/08/1998|6|Industrial|56.94236066|31.8039513
01/09/1998|01/08/1998|7|Mall|52.76937883|31.09129538
01/09/1998|01/08/1998|8|Manufactured Home Park|56.39117583|30.95946072
01/09/1998|01/08/1998|9|Office|48.64558713|31.19257482
01/09/1998|01/08/1998|10|Self-Storage|50.86350938|25.99703944
01/09/1998|01/08/1998|11|Strip Center|54.97100967|31.66485575
01/09/1998|01/08/1998|13|Retail|53.93147581|31.52996847
01/09/1998|01/08/1998|100|GS Universe|52.38825269|30.36813119
01/09/1998|01/08/1998|101|GS Major Sector|52.87779393|31.11104557
01/10/1998|01/09/1998|1|Apartment|51.52145524|29.21830803
01/10/1998|01/09/1998|4|Health Care||
01/10/1998|01/09/1998|6|Industrial|56.06921574|31.50186605
01/10/1998|01/09/1998|7|Mall|52.86744364|31.30925543
01/10/1998|01/09/1998|8|Manufactured Home Park|55.35330143|30.58101351
01/10/1998|01/09/1998|9|Office|44.54832052|28.6972834
01/10/1998|01/09/1998|10|Self-Storage|49.30646318|25.38639682
01/10/1998|01/09/1998|11|Strip Center|53.33685042|30.91369662
01/10/1998|01/09/1998|13|Retail|53.17995984|31.26650646
01/10/1998|01/09/1998|100|GS Universe|50.48852639|29.43480674
01/10/1998|01/09/1998|101|GS Major Sector|50.9955854|30.17300894
01/11/1998|01/10/1998|1|Apartment|51.50299839|29.39270051
01/11/1998|01/10/1998|4|Health Care||
01/11/1998|01/10/1998|6|Industrial|56.06921574|31.68876171
01/11/1998|01/10/1998|7|Mall|52.84641066|31.45777981
01/11/1998|01/10/1998|8|Manufactured Home Park|55.35330143|30.77381619
01/11/1998|01/10/1998|9|Office|44.54832052|28.83095498
01/11/1998|01/10/1998|10|Self-Storage|49.30646318|25.57327677
01/11/1998|01/10/1998|11|Strip Center|53.3333497|31.10280612
01/11/1998|01/10/1998|13|Retail|53.16763598|31.43630113
01/11/1998|01/10/1998|100|GS Universe|50.48130774|29.59945337
01/11/1998|01/10/1998|101|GS Major Sector|50.98806387|30.33888502
01/12/1998|01/11/1998|1|Apartment|52.20483347|29.97927088
01/12/1998|01/11/1998|4|Health Care||
01/12/1998|01/11/1998|6|Industrial|56.70086363|32.23375601
01/12/1998|01/11/1998|7|Mall|53.47181383|31.99187616
01/12/1998|01/11/1998|8|Manufactured Home Park|56.00590885|31.33065327
01/12/1998|01/11/1998|9|Office|45.10907515|29.32816055
01/12/1998|01/11/1998|10|Self-Storage|49.88565878|26.06193785
01/12/1998|01/11/1998|11|Strip Center|53.71419379|31.51722702
01/12/1998|01/11/1998|13|Retail|53.67206869|31.9125992
01/12/1998|01/11/1998|100|GS Universe|51.06927369|30.11403027
01/12/1998|01/11/1998|101|GS Major Sector|51.5867622|30.86641326
01/01/1999|01/12/1998|1|Apartment|52.42901965|30.29783149
01/01/1999|01/12/1998|4|Health Care||
01/01/1999|01/12/1998|6|Industrial|56.70086363|32.42499386
01/01/1999|01/12/1998|7|Mall|53.31170182|32.06071397
01/01/1999|01/12/1998|8|Manufactured Home Park|56.00590885|31.52818217
01/01/1999|01/12/1998|9|Office|45.13679799|29.48279505
01/01/1999|01/12/1998|10|Self-Storage|49.88565878|26.25379074
01/01/1999|01/12/1998|11|Strip Center|53.71066877|31.71005609
01/01/1999|01/12/1998|13|Retail|53.58995174|32.04455684
01/01/1999|01/12/1998|100|GS Universe|51.10179086|30.30601015
01/01/1999|01/12/1998|101|GS Major Sector|51.63033953|31.06678569
01/02/1999|01/01/1999|1|Apartment|52.91654901|30.77052802
01/02/1999|01/01/1999|4|Health Care||
01/02/1999|01/01/1999|6|Industrial|56.42826333|32.4614769
01/02/1999|01/01/1999|7|Mall|53.29057239|32.21352887
01/02/1999|01/01/1999|8|Manufactured Home Park|56.00590885|31.72695642
01/02/1999|01/01/1999|9|Office|45.02855627|29.54933149
01/02/1999|01/01/1999|10|Self-Storage|49.88565878|26.44705593
01/02/1999|01/01/1999|11|Strip Center|53.70714421|31.90407881
01/02/1999|01/01/1999|13|Retail|53.57757357|32.21896049
01/02/1999|01/01/1999|100|GS Universe|51.13451043|30.49918486
01/02/1999|01/01/1999|101|GS Major Sector|51.65437465|31.2564961
01/03/1999|01/02/1999|1|Apartment|53.63757793|31.38381562
01/03/1999|01/02/1999|4|Health Care||
01/03/1999|01/02/1999|6|Industrial|57.06395607|33.01976062
01/03/1999|01/02/1999|7|Mall|53.79122213|32.68254777
01/03/1999|01/02/1999|8|Manufactured Home Park|56.66621041|32.3010401
01/03/1999|01/02/1999|9|Office|45.5953559|30.05883376
01/03/1999|01/02/1999|10|Self-Storage|50.47165811|26.95241342
01/03/1999|01/02/1999|11|Strip Center|54.0906582|32.32921793
01/03/1999|01/02/1999|13|Retail|54.02054095|32.66817702
01/03/1999|01/02/1999|100|GS Universe|51.71224882|31.01868226
01/03/1999|01/02/1999|101|GS Major Sector|52.2451278|31.79031327
01/04/1999|01/03/1999|1|Apartment|55.32230301|32.56752111
01/04/1999|01/03/1999|4|Health Care||
01/04/1999|01/03/1999|6|Industrial|57.87818746|33.68681247
01/04/1999|01/03/1999|7|Mall|52.38677983|31.99811145
01/04/1999|01/03/1999|8|Manufactured Home Park|57.58474001|33.0282699
01/04/1999|01/03/1999|9|Office|46.1066304|30.53581252
01/04/1999|01/03/1999|10|Self-Storage|51.52315099|27.71233009
01/04/1999|01/03/1999|11|Strip Center|54.54236986|32.79916021
01/04/1999|01/03/1999|13|Retail|53.5408892|32.56354406
01/04/1999|01/03/1999|100|GS Universe|52.28638087|31.54097751
01/04/1999|01/03/1999|101|GS Major Sector|52.87223141|32.35128461
01/05/1999|01/04/1999|1|Apartment|55.301804|32.75420911
01/05/1999|01/04/1999|4|Health Care||
01/05/1999|01/04/1999|6|Industrial|57.87818746|33.88366199
01/05/1999|01/04/1999|7|Mall|52.36662344|32.1563721
01/05/1999|01/04/1999|8|Manufactured Home Park|57.58474001|33.23296068
01/05/1999|01/04/1999|9|Office|46.1066304|30.67623549
01/05/1999|01/04/1999|10|Self-Storage|51.52315099|27.91193325
01/05/1999|01/04/1999|11|Strip Center|54.53875427|32.99764178
01/05/1999|01/04/1999|13|Retail|53.52881438|32.74260056
01/05/1999|01/04/1999|100|GS Universe|52.27886016|31.71507331
01/05/1999|01/04/1999|101|GS Major Sector|52.86435261|32.52657331
01/06/1999|01/05/1999|1|Apartment|55.94600756|33.33573265
01/06/1999|01/05/1999|4|Health Care||
01/06/1999|01/05/1999|6|Industrial|58.46039123|34.42250171
01/06/1999|01/05/1999|7|Mall|52.92603631|32.67137354
01/06/1999|01/05/1999|8|Manufactured Home Park|58.30113046|33.852359
01/06/1999|01/05/1999|9|Office|46.72842466|31.23100408
01/06/1999|01/05/1999|10|Self-Storage|51.92898312|28.33282787
01/06/1999|01/05/1999|11|Strip Center|54.88491422|33.40896367
01/06/1999|01/05/1999|13|Retail|53.98460335|33.20886704
01/06/1999|01/05/1999|100|GS Universe|52.84056747|32.2354811
01/06/1999|01/05/1999|101|GS Major Sector|53.44201239|33.06311379
01/07/1999|01/06/1999|1|Apartment|55.19621195|33.09256778
01/07/1999|01/06/1999|4|Health Care||
01/07/1999|01/06/1999|6|Industrial|58.70028893|34.76490623
01/07/1999|01/06/1999|7|Mall|52.65475462|32.67821646
01/07/1999|01/06/1999|8|Manufactured Home Park|58.30113046|34.06215702
01/07/1999|01/06/1999|9|Office|47.35484612|31.79329359
01/07/1999|01/06/1999|10|Self-Storage|51.92898312|28.53690028
01/07/1999|01/06/1999|11|Strip Center|54.35513584|33.29089794
01/07/1999|01/06/1999|13|Retail|53.58570551|33.15366549
01/07/1999|01/06/1999|100|GS Universe|52.78532606|32.38440462
01/07/1999|01/06/1999|101|GS Major Sector|53.39816239|33.22011934
01/08/1999|01/07/1999|1|Apartment|55.1760486|33.28553165
01/08/1999|01/07/1999|4|Health Care||
01/08/1999|01/07/1999|6|Industrial|58.98386521|35.13511259
01/08/1999|01/07/1999|7|Mall|52.63471076|32.84199595
01/08/1999|01/07/1999|8|Manufactured Home Park|58.30113046|34.27325526
01/08/1999|01/07/1999|9|Office|47.35484612|31.93738997
01/08/1999|01/07/1999|10|Self-Storage|51.92898312|28.74244256
01/08/1999|01/07/1999|11|Strip Center|54.35158523|33.49560841
01/08/1999|01/07/1999|13|Retail|53.57375622|33.33867998
01/08/1999|01/07/1999|100|GS Universe|52.81425977|32.58629195
01/08/1999|01/07/1999|101|GS Major Sector|53.45479942|33.44097241
01/09/1999|01/08/1999|1|Apartment|55.81907972|33.87977572
01/09/1999|01/08/1999|4|Health Care||
01/09/1999|01/08/1999|6|Industrial|59.57719112|35.69295477
01/09/1999|01/08/1999|7|Mall|53.19720555|33.37014545
01/09/1999|01/08/1999|8|Manufactured Home Park|59.02643326|34.91204266
01/09/1999|01/08/1999|9|Office|47.99347383|32.51284725
01/09/1999|01/08/1999|10|Self-Storage|52.33801186|29.17586074
01/09/1999|01/08/1999|11|Strip Center|54.69661017|33.91641098
01/09/1999|01/08/1999|13|Retail|54.03006493|33.816164
01/09/1999|01/08/1999|100|GS Universe|53.38181824|33.12178766
