Year|Household Income ($B)|Median Household Income ($)|Real Median Household Income (2012 $)|Disposable Household Income ($B)|Fannie Mae Average FICO Score|Freddie Mac Average FICO Score|Apartment Buildings Completed (5+ Units)|Home Ownership Rate (%)|Rental Vacancy Rate (%)|US Container Port Traffic (World Bank) (TEUs)|US Maritime Container Traffic (BTS) (M TEUs)|Estimated Median Age at First Marriage: Male|Estimated Median Age at First Marriage: Female|Number of 18-34 Yr Olds Living with Parents (K)
1947||||||||||||23.7|20.5|
1948||||||||||||23.3|20.4|
1949||||||||||||22.7|20.3|
1950||||||||||||22.8|20.3|
1951||||||||||||22.9|20.4|
1952||||||||||||23|20.2|
1953||||||||||||22.8|20.2|
1954||||||||||||23|20.3|
1955||||||||||||22.6|20.2|
1956||||||||||||22.5|20.1|
1957||||||||||||22.6|20.3|
1958||||||||||||22.6|20.2|
1959||||||||||||22.5|20.2|
1960||||||||||||22.8|20.3|8371
1961||||||||||||22.8|20.3|
1962||||||||||||22.7|20.3|
1963||||||||||||22.8|20.5|
1964||||||||||||23.1|20.5|
1965||||||||||||22.8|20.6|
1966||||||||||||22.8|20.5|
1967||||||||||||23.1|20.6|
1968||||||||||||23.1|20.8|
1969||||||||||||23.2|20.8|
1970|||||||526000|||||23.2|20.8|12540
1971|||||||583400|||||23.1|20.9|
1972|||||||718200|||||23.3|20.9|
1973|||||||774800|||||23.2|21|
1974|||||||685400|||||23.1|21.1|
1975|||||||371400|||||23.5|21.1|
1976|||||||258200|||||23.8|21.3|
1977|||||||289400|||||24|21.6|
1978|||||||362700|||||24.2|21.8|
1979|||||||439300|||||24.4|22.1|
1980|||||||418900|||||24.7|22|17285
1981|||||||332500|||||24.8|22.3|
1982|||||||288200|||||25.2|22.5|
1983|||||||370700|||||25.4|22.8|19988
1984||22415|52679||||506000|0.645||||25.4|23|19717
1985||23618|53664||||533300|0.639||||25.5|23.3|19276
1986||24897|55597||||550200|0.638|0.073|||25.7|23.1|18931
1987||26061|56261||||474200|0.64|0.077|||25.8|23.6|19082
1988||27225|56725||||388600|0.638|0.077|||25.9|23.6|19188
1989||28906|57705||||337900|0.639|0.074|||26.2|23.8|18307
1990||29943|56966||||294400|0.639|0.072|||26.1|23.9|18354
1991||30126|55302||||216500|0.641|0.074|||26.3|24.1|18607
1992|5394.778|30636|54874|4781.976|||155200|0.641|0.074|||26.5|24.4|18324
1993|5632.744|31241|54581|4983.989|||124800|0.64|0.073|||26.5|24.5|18035
1994|5919.985|32264|55215|5226.913|||154900|0.64|0.074|||26.7|24.5|18591
1995|6257.504|34076|56945|5509.097|||212400|0.647|0.076||22.337254|26.9|24.5|18149
1996|6645.24|35492|57772|5808.156|||251300|0.654|0.078||22.61061|27.1|24.8|18305
1997|7057.786|37005|58961|6125.965|||247100|0.657|0.077||24.524146|26.8|25|18161
1998|7581.108|38885|61128|6548.687|||273900|0.663|0.079||26.165657|26.7|25|17898
1999|7974.744|40696|62641|6862.83|||291800|0.668|0.081||28.00733172|26.9|25.1|18155
2000|8624.025|41990|62512|7387.695|||300000|0.674|0.08|28300000|30.395763|26.8|25.1|17814
2001|8987.425|42228|61126|7748.378|||281000|0.678|0.084|27307576|30.663813|26.9|25.1|17556
2002|9148.942|42409|60435|8096.764|717|722|288100|0.679|0.089|29676890|32.70286175|26.9|25.3|18055
2003|9480.114|43318|60360|8476.576|721|729|261000|0.683|0.098|32689484|36.30004275|27.1|25.3|17790
2004|10027.015|44334|60150|8978.27|715|719|285400|0.69|0.102|34901628|38.65465773|27.4|25.3|18616
2005|10582.999|46326|60794|9370.543|719|722|258000|0.689|0.098|38497839|41.96841215|27.1|25.3|18118
2006|11362.198|48201|61268|10005.235|716|720|283500|0.688|0.097|40896742|44.41301217|27.5|25.5|18610
2007|11989.255|50233|62090|10496.766|716|718|253000|0.681|0.097|44839390|45.0080185|27.5|25.6|19227
2008|12439.818|50303|59877|10932.318|738|734|276600|0.678|0.1|42411770.051|42.8286045|27.6|25.9|19899
2009|12055.551|49777|59458|10903.173|761|756|259800|0.674|0.106|37353574.903|37.222709|28.1|25.9|20308
2010|12547.533|49276|57904|11309.912|762|755|146500|0.669|0.102|42337513.167||28.2|26.1|21144
2011|13323.004|50054|57021|11869.312|762|755|129900|0.661|0.095|42915461||28.4|26.4|21678
2012|14001.547|51017|56912|12492.033|761|756|157600|0.654|0.087|44296098||28.6|26.6|22540
2013|14171.459|53585|58904|12495.088|753|749|186200|0.651|0.083|44271878||28.965|26.616|22410
2014|14982.623|53657|58001|13198.045|744|744|255600|0.645|0.076|46488523||29.3|27|22770
2015|15719.239|56516|60987|13779.291|748|750||0.637|0.071|||29.2|27.1|23031
2016|16156.053|59039|62898|14198.167|750|748||0.634|0.069|||29.5|27.4|23559
2017|16943.308|61136|63761|14896.592|745|745||0.639|0.072|||29.5|27.4|23144
2018|17838.931|63179|64324|15753.646|743|746||0.644|0.069|||29.8|27.8|23644
2019|18547.938|68703|68703|16345.059|749|751||0.646|0.067|||29.8|28|23451
2020|||||760|759||0.666|0.063|||30.5|28.1|24964
