sector_id|market_id|Sector|Market|Commentary|Strength #1|Strength #2|Strength #3|Weakness #1|Weakness #2|Weakness #3
1|150|Apartment|Atlanta|Atlanta: Atlanta’s pro-business environment continues to attract companies and drive steady job growth within the metro. In 3Q'19, BlackRock announced that its new innovation center will bring >1k tech jobs to the Northeast submarket, beginning in ’20. Google expanded its presence in Midtown in 4Q'19 while Microsoft announced its new Atlanta office, which will bring ~1.5k jobs to Midtown, in 2Q’20. The Midtown submarket, offering a walkable lifestyle adjacent to Georgia Tech, has garnered significant attention from developers with ~2k apartment units under construction. While overall supply growth in Atlanta is in line with the top market average, the Gwinnet submarket has seen outsized development. Cumberland and Buckhead remain favorable due to their relatively muted supply pipelines and strong demographics; Buckhead continues to attract millennials with its walkability, strong transport systems, and cultural amenities while residents seeking suburban living flock to the Cumberland submarket, located only 20 minutes from Downtown. Traffic congestion and poor infrastructure are still problematic across the metro, although the city and state plan to invest $2.5B to improve MARTA lines and offerings over the next 25 years. With healthy employment growth and an increasing tech presence, Atlanta boasts a strong long-term outlook and near-term M-RevPAF growth that bests most top markets.|Labor shift towards a higher earning population aided by strong tech growth and reputable universities|Low tax rates will likely make Atlanta a destination for corporate relocations and working age population growth|Elevated supply barriers in Buckhead, Midtown and Cumberland, constraining future development|Market affordability is below comparable Sun Belt markets, hampering incremental demand |Poor household income in southern submarkets with less tech concentration will likely weigh down market effective rent|Traffic congestion and crime rating above Sun Belt average, negatively effecting household formation
1|151|Apartment|Austin|Austin: Strong asset value appreciation for Austin apartments has been driven by robust demand from both employment and population growth. Austin has become a major tech hub and destination for skilled, young workers that is fueled by a deep talent pool from local universities, a vibrant culture, and relative affordability. Upcoming expansion plans by brand-name employers bode well for job growth momentum. Apple’s $1 billion campus development  will bring 15k new jobs in the area by ’22. Facebook, Google, and Oracle, and now Tesla are also expanding their presence in the metro. This population boom has caused once-affordable home prices to surge, giving apartment owners more room to push rents. Rental demand anchored by the millennial cohort has been focused in the Downtown / Northwest submarkets, and the area around The Domain. New development has also been concentrated in these areas. The supply pipeline remains elevated, but demand is expected to allow for above-average M-RevPAF growth. Barriers to entry in Austin, while less than coastal markets, are the highest in Texas which will help support long-term rent growth. There is also growing evidence of NIMBYism in the area as residents and the city council have expressed concerns over increased traffic and rapidly rising home prices. Strong fundamentals, coupled with relatively attractive cap rates compared to markets with similar growth, drive attractive risk-adjusted returns.|Strong median household income fueled by an increasing share of tech employment growth from higher-cost hubs|An affordable market relative to other tech hubs with high paying employers |Population growth outpaces the average market in the top 50 due to no state income tax and a vibrant environment|Outdated infrastructure and inadequate public transportation to meet population growth  |High homeownership outside centrally located submarkets due to the affordable housing outside the city center|Very low supply barriers  allowing construction trends to meet excess demand
1|152|Apartment|Baltimore|The Baltimore market remains an intriguing option for investors shying away from the increasingly modest going-in yields presented by other East Coast markets. Fueled by growth in the information and professional services sectors, future economic growth in Baltimore is likely to outpace that of many of its Eastern seaboard peers. Notably, a strengthening high-tech sector largely comprised of cybersecurity firms continues to spill over from the neighboring D.C. Metro, bolstered by a highly skilled local workforce and the presence of major universities such as Johns Hopkins and the University of Maryland. Various suburbs intend to reap the benefits of this wave of cybersecurity growth; the Merriweather District development hopes to create a “center of gravity in the cyberspace community” while transforming the landscape of downtown Columbia. Such development is not limited to suburbs, however, as the massive Port Covington project seeks to breathe new life into Baltimore City. Despite such efforts over the long term, current headwinds include high crime rates and severely entrenched urban poverty, rendering Baltimore City a less attractive region in which to live and work. Higher cap rates may attract some yield-oriented investors, but poor intermediate-term growth and a fairly restrained long-term outlook should be a drag on returns. |Above-average Human Capital score illustrates well-educated renter base with strong median household incomes|Education and health care sectors provide stable, low-beta jobs with above-average pay |Higher affordability than adjacent D.C. metro attracts in-migration |High crime rates in Baltimore City, South, and East submarkets|Below-average mortgage-to-rent ratios and affordable homes encourage homeownership|Low relative CPPI appreciation in recent years; only average population growth estimates for the next five years
1|154|Apartment|Boston|Boston: The market continues to attract an outsized share of knowledge-based workers as employers are drawn to a well-educated population anchored by a top university system. Employers like Amazon, Foundation Medicine, Klaviyo, and Google are expanding in or relocating to Boston, bringing thousands of high-paying jobs to the metro. Millennial population continues to grow as recent graduates chase these high-paying jobs. In addition to in-migration, apartment demand is supported by some of the highest home prices across top markets, delaying homeownership for many renters. A healthy demand backdrop combined with an average supply pipeline will help the city overcome short-term struggles brought on by the pandemic, leaving Boston among the strongest gateway markets for intermediate growth potential. Healthy demand can be found in Boston’s downtown submarkets given a desirable lifestyle and proximity to work. Investors should be aware of the “Imagine Boston 2030” master plan and its aim to make the market more affordable by ‘30 through increased mixed-use development which will add apartment inventory to the metro. Solid long-term growth prospects, should provide investors with attractive risk-adjusted returns relative to most metros.|Renter demand is aided by a very expensive single-family market|Strong long-term growth prospects boost cap rates, leading to attractive long-term return expectations|Low crime rates and relatively walkable submarkets (e.g., Back Bay, Financial District, Fenway) buoy desirability|Growing rent control sentiment in legislative bodies (e.g., Bill H.3924 seeks to remove the prohibition of rent control)|“Imagine Boston 2030” aims to aid affordability; Suffolk Downs will add ~10k units over 20 years (~2% of stock)|Aging public transit system faces financial challenges
1|156|Apartment|New Jersey (Central)|New Jersey (Central): The Central New Jersey apartment market has proven a stable but low-growth market this past cycle. The long-term outlook remains underwhelming due to concerning fiscal health trends and sluggish employer growth. The state’s “Grow NJ” program, which provided tax incentives for companies that created or retained jobs in the region, had little success in Central New Jersey and finally expired in July ’19. The state’s concerning fiscal health (debt burden >$200B), which will likely be much worse following Covid-19, should deter investors as property tax increases to raise government funds would cut directly into the bottom line. Green Street estimates that a ~700 bp increase to the median resident’s non-federal tax burden is required to offset the state’s unfunded liabilities, which translates to an ~8% decline in after-tax income. Princeton University’s younger demographic provides steady rental demand for landlords in the Mercer / Princeton submarket, but the metro struggles to keep graduates from relocating to surrounding metros with better job prospects (e.g., New York, D.C., Boston). Stagnant population growth has pressured investors’ ability to push rents, and millennial out-migration forecasts will likely continue to weigh on long-term demand.|Growing life science industry provides steady demand near Princeton and New Brunswick|Expensive home prices delay homeownership for many renters|Muted supply pipeline supports above-average rent growth through the intermediate term|Concerning fiscal health issues in the state could lead to tax increases|Tepid population growth; outmigration of 25-34-year-old cohort|Struggles to attract high-quality jobs; loses out to nearby, larger metros
1|158|Apartment|Charlotte|Charlotte: Strong domestic in-migration and employment growth have provided nice tailwinds for apartment fundamentals. Young adults have flocked to North Carolina’s most populous metro, drawn by Charlotte’s diverse range of employment opportunities, relative affordability compared to other East Coast hubs, and a dynamic live / work / play environment. The quality of job growth has improved in recent years, fueled by the array of employers that operate in Charlotte and those that are choosing to expand in the market (e.g., Lowe’s, U.S. Bank, Honeywell). Developers have been active and there has been a focus on mixed-use development along the LYNX Blue Line metro, with a new delivery at seemingly every stop. In 4Q’19, Charlotte’s City Council voted to spend $50M for a transportation firm to design a 26-mile Silver Line light-rail connecting the East submarket to Uptown and westward into Gaston County, despite ongoing concerns about how the city will fund the ~$4B project. As competition for tenants increases, landlords have been forced to offer more amenitized space to differentiate their product. Supply growth across the metro is showing no signs of slowing, and though absorption has been healthy investors should remain cautious of the elevated supply pipeline over the next 5 years, especially if economic growth remains sluggish in the next few years. Demand in Midtown and Downtown should stack up favorably as young adults have demonstrated a strong propensity to rent in these submarkets. |Employment growth to significantly outperform top markets through favorable millennial population growth|Positive in-migration trends within the market aided by a strong financial sector, particularly within Midtown and CBD|Low personal income tax rates assisting millennial population growth and market desirability|Lagging infrastructure has led to unfavorable commute times in East Charlotte and Carmel|Above-average crime rating with poor Walk Score / accessibility serves as a demand headwind|Development expected to increase by ~13% of current stock through ’25, notably within Northeast Charlotte and Midtown
1|160|Apartment|Chicago|Chicago: The “Capital of the Midwest” exhibits stronger near-term apartment fundamentals than nearby Midwest markets, but Chicago still suffers from concerning long-term demographic and fiscal health trends. Owners are pressured by increasing tax liabilities from reassessed property values as the city / state try to alleviate fiscal woes. Additionally, a November ’20 ballot measure proposes graduated individual income tax rates between 4.95%-7.99%, changing from a current fixed rate of 4.95%. While increasing taxes hurts disposable income and has contributed to some out-migration, the modest silver lining is limited new supply in the market since developers are hesitant of the metro’s higher taxes and rising construction costs. Investors should be aware of the $6B Lincoln Yards master plan, which will phase in ~6k apartment units to the Lincoln Park / Old Town submarket over the intermediate term. In addition to fiscal issues, the metro suffers from millennial out-migration and unattractive employment trends, losing share to markets with higher-paying job opportunities. The wealthy population that resides in the Glencoe / Wilmette submarket, which falls outside of city limits (and thus outside of Chicago’s fiscal issues), pay some of the highest nominal rents across the market. Landlords have been able to consistently push rent in this submarket despite overall metro headwinds.|Higher cost of living delays homebuying for many renters|Expansive public transit system allows easy access to amenities|A strong university system has the potential to support higher paying jobs in the metro|Lincoln Yards development to phase ~6k apartment units to Lincoln Park / Old Town submarket by ’23|Out-migration of renting age cohorts; Covid driving renters out of denser, urban areas into suburban markets|Rising tax environment from poor city / state finances is a deterrent to entering the market
1|161|Apartment|Cincinnati|Cincinnati: Cincinnati’s growth is broadly driven by its exposure to a few large corporate headquarters, including Kroger, Proctor & Gamble, and Macy’s. While large companies have helped propel job growth this last cycle, primarily in the finance, insurance, and real estate (FIRE) sectors, a troubled manufacturing industry and lackluster population growth will likely weigh on apartment demand. Proximity to Columbus’ more stable job market hurts Cincinnati’s ability to attract young talent and prevent millennials from migrating. Very affordable single-family housing has also resulted in one of the highest homeownership rates relative to the top markets, which limits an investor’s ability to push apartment rents. One positive for the metro is Proctor and Gamble’s and Kroger’s strong quarterly earnings and forward-guidance in late ‘19, both of whom were facing challenges over the past few years. Despite an encouraging trajectory early in the year for P&G and Kroger, Covid-19 has disrupted future hiring plans for two of Cincinnati’s largest employers. In addition, Macy’s plans to slash ~3,900 corporate and management jobs as part of a restructuring plan will likely further dampen apartment fundamentals. Limited demand tailwinds, affordable homes, underwhelming demographics, and lagging population growth restrict the metro’s long-term NOI growth potential.	|Lower non-farm job loss percentage compared to its Midwest peers during ‘20|Six Fortune 500 corporate headquarters bring stability to the local economy|Increased demand in the Central submarket stemming from Clifton Heights neighborhood revitalization|Slowing population growth of the 25-34 age cohort due to competition from other Ohio markets|Low supply barriers diminish pricing power as supply matches demand|Low mortgage-to-rent ratio due to the affordable home prices in the metro
1|162|Apartment|Cleveland|Cleveland: A lack of young talent and weak job growth point to a continuation of poor apartment fundamentals. Once a manufacturing powerhouse, Cleveland has failed to redefine itself as globalization and technological innovation continue to leave many Rust Belt cities behind. The city suffers from significant out-migration, which is expected to continue over the next 5 years led by a decline in young adults who are relocating for better opportunities. Cleveland’s lone bright spot and best hope for reversing momentum remains in health care. The Case Western Reserve University Medical School and the Cleveland Clinic are large providers of high-paying jobs and economic activity. Investments in the life sciences is underway at the Cleveland Clinic’s research centers that may help generate some growth. However, it remains doubtful that the health care sector’s job growth in isolation will be able to resuscitate the local economy.  The Downtown submarket is demonstrating emerging strength due to a modernization effort by the Downtown Cleveland Alliance to create an innovation district. Despite development initiatives to generate an increasingly vibrant downtown area, Cleveland still struggles to compete with more desirable Midwest markets.	|Exposure to the strong and low beta health care sector provides economic stability|Higher current effective rents in the University Circle submarket as a result of stronger demographics|Recent redevelopment efforts attempt to revitalize the CBD|Affordable housing leads to above-average homeownership rates that limit apartment demand|Expected out-migration through ’25 of the 25-34 age cohort reduces potential renter demand|Recent out-migration of high paying jobs coupled with exposure to manufacturing
1|166|Apartment|Dallas|Dallas: Dallas continues to be an attractive destination for businesses and employees. Companies are drawn to the region because of the business-friendly environment, affordability, and centralized location. This trend is best exemplified by Core-Mark (CORE) making the decision to move from San Francisco to Dallas in 1Q’19, citing cost savings and Dallas’s strategic location as key drivers. In addition to diverse job opportunities, residents are also attracted to the area’s affordability and lifestyle. The spread between mortgage payments and rent continues to widen as home price appreciation outpaces rent growth. This trend could be a major tailwind for apartment demand since single-family affordability has restrained M-RevPAF growth in the area historically. Another factor impeding M-RevPAF growth is an overabundance of supply that is fueled by pro-development policies and low-barriers to entry across the market. Currently, Dallas has one of the largest supply pipelines in the country, with a bulk of the new supply focused in the northern neighborhoods of Plano / Frisco. Elevated supply should cause M-RevPAF growth to lag the top market average in the intermediate term, despite a strong demand outlook.|Low cost of living|Diverse economy|Strong Fortune 500 presence|Affordable single-family housing|Low barriers to entry|Stagnant employment momentum
